Vessel,Expreesion type(Cargo/Ballast),Tank_name(Optional),TankDegree,TankConst
FWA,Cargo,FORE PEAK T.(C),0,"273.33,0"
FWA,Cargo,NO.1 W.B.T.P,0,"254.16,0"
FWA,Cargo,NO.1 W.B.T.S,0,"254.16,0"
FWA,Cargo,NO.2 W.B.T.P,0,"215.25,0"
FWA,Cargo,NO.2 W.B.T.S,0,"215.25,0"
FWA,Cargo,NO.3 W.B.T.P,0,"176.53,0"
FWA,Cargo,NO.3 W.B.T.S,0,"176.53,0"
FWA,Cargo,NO.4 W.B.T.P,0,"137.36,0"
FWA,Cargo,NO.4 W.B.T.S,0,"137.36,0"
FWA,Cargo,NO.5 W.B.T.P,0,"98.29,0"
FWA,Cargo,NO.5 W.B.T.S,0,"98.29,0"
FWA,Cargo,NO.6 W.B.T.P INC.D.W.S.T.P,0,"61.08,0"
FWA,Cargo,NO.6 W.B.T.S (INC.D.W.S.T.S,0,"61.08,0"
FWA,Cargo,AFT PEAK T.(C),0,"3.82,0"
