Vessel,Frame_number,Midframe,EndFrame,Distprevframe,DistFromAft,Framepostionafp,mid_ship_distance_from_AP,UDDraftMDegree,UDDraftMConst
FWA,299,0,1,12.95,267.8,19,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,284.5,0,0,12.95,254.85,18,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,270,0,0,13.15,241.9,17,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,255.5,0,0,12.95,228.75,16,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,241,0,0,13.15,215.8,15,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,226.5,0,0,12.95,202.65,14,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,212,0,0,13.15,189.7,13,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,197.5,0,0,12.95,176.55,12,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,183,0,0,13.15,163.6,11,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,168.5,0,0,12.95,150.45,10,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,154,1,0,13.15,137.5,9,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,139.5,0,0,12.95,124.35,8,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,125,0,0,13.15,111.4,7,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,110.5,0,0,12.95,98.25,6,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,96,0,0,13.15,85.3,5,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,81.5,0,0,12.95,72.15,4,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,67,0,0,13.15,59.2,3,13.15,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,52.5,0,0,12.95,46.05,2,12.95,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
FWA,38,0,0,33.1,33.1,1,33.1,2,"0.21540251030817487,9.66986369223344e-05,-3.879228118574099e-11"
