Vessel,Frame_number,used_for_BM,used_for_SF,Framepositionfromaft,WiDegree,Expression type,NumberOfHolds,Holdsatframe,Htank_Weight_Ratio,BallastHoldWeight,HoldBMMiConst,BMBaseValueDegree,BMTrimCorDegree,BMBaseConst,BMBaseTrimConst,SFBaseDraftDegree,SFTrimCorDegree,SFBaseConst,SFBaseTrimConst,countBallastTank,WtRatio_blst_tank,LCG_blst_tank,Holdbsttankweight,HoldbsttankLCG,Ratio_blst_tank,Ratio_hold,Ballast_tank_list,DistfromAP,Hold_tanks_list
KAC,299,1,1,19,1,WI,9,"0,0,0,0,0,0,0,0,0","0,0,0,0",22046.725,"0,0,0,0,0,0,0,0,0",2,2,"-10.680178640952825,0.00014675896924697007,-6.675147225121841e-11","-0.575648941400469,-7.750581922976018e-07,3.164110768318913e-13",1,2,"-1.34208140602218,2.3262117539589554e-05","-0.0945939788922392,-2.1967939433449092e-07,8.009067851665584e-14",13,"1.0,0,0,0,0,0,0,0,0,0,0,0,0,0","273.3,0,0,0,0,0,0,0,0,0,0,0,0,0","22046.725,0","0,0,0,0","1.0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",267.8,"2,4,6,8"
KAC,284.5,1,0,18,1,WI,9,"0.48,0,0,0,0,0,0,0,0","0,0,0,0",22046.725,"261.3,0,0,0,0,0,0,0,0",1,2,"-34.668321321353375,0.0006870596696454298","-2.867566339388416,-5.328665732795908e-06,2.1751651120953184e-12",1,2,"-2.4356566505647224,6.404035876465456e-05","-0.26637601686443624,-4.4436930054545576e-07,1.774472841231456e-13",13,"1.0,0.46,0.46,0,0,0,0,0,0,0,0,0,0,0","0,261.19,261.19,0,0,0,0,0,0,0,0,0,0,0","22046.725,1","0,0,0,0","0,0.46,0.46,0,0,0,0,0,0,0,0,0,0,0","0.48,0,0,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",254.85,"2,4,6,8"
KAC,270,1,1,17,1,WI,9,"1.0,0,0,0,0,0,0,0,0","0,0,0,0",22046.725,"248.2,0,0,0,0,0,0,0,0",1,2,"-7.36232196e01,  1.83597628e-03","-7.64855859, -1.20134020e-05,  4.90437169e-12",1,2,"-3.430660587081099,0.00011270616539334583","-0.46788248192113147,-5.623213290634791e-07,2.2866048724937143e-13",13,"1.0,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0","0,248.17,248.17,0,0,0,0,0,0,0,0,0,0,0","22046.725,2","0,0,0,0","0,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0","0.52,0,0,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",241.9,"2,4,6,8"
KAC,255.5,1,0,16,1,WI,9,"1.0,0.502,0,0,0,0,0,0,0","0.498,0,0,0",22046.725,"0,235.3,0,0,0,0,0,0,0",1,2,"-124.29876183336069,0.0036445408214640152","-15.055635770361837,-1.9570219355514463e-05,7.989379690005485e-12",2,2,"-4.868668701468467,0.00017509445030773466,-4.2076230893411174e-11","-0.6647506402192832,-6.016908763188235e-07,2.482791184291242e-13",13,"1.0,0.54,0.54,0.24,0.24,0,0,0,0,0,0,0,0,0","0,0,0,235.25,235.25,0,0,0,0,0,0,0,0,0","22046.725,3","235.3,0,0,0","0,0,0,0.24,0.24,0,0,0,0,0,0,0,0,0","0,0.498,0,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",228.75,"2,4,6,8"
KAC,241,1,1,15,1,WI,9,"1.0,1.0,0,0,0,0,0,0,0","0.502,0,0,0",22046.725,"0,222.2,0,0,0,0,0,0,0",2,2,"-202.61773901845447,0.006473684268680109,-1.370887079837729e-09","-24.90553741971665,-2.751456582656505e-05,1.123259322753292e-11",2,2,"-5.983945082633117,0.00023327265913401156,-6.582783679868985e-11","-0.84049632973355,-6.104185354319615e-07,2.506386017761629e-13",13,"1.0,0.54,0.54,0.247,0.247,0,0,0,0,0,0,0,0,0","0,0,0,222.2,222.2,0,0,0,0,0,0,0,0,0","22046.725,4","222.2,0,0,0","0,0,0,0.247,0.247,0,0,0,0,0,0,0,0,0","0,0.502,0,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",215.8,"2,4,6,8"
KAC,226.5,1,0,14,1,WI,9,"1.0,1.0,0.5,0,0,0,0,0,0","0,0,0,0",22046.725,"0,0,209.2,0,0,0,0,0,0",2,2,"-287.7580233778609,0.009898317622136759,-2.3791628433083483e-09","-36.873439069071445,-3.5458912297615265e-05,1.4475806765058485e-11",2,2,"-7.075583470901325,0.0002915485240320139,-8.893513662871514e-11","-0.9889271212159552,-6.103082841879812e-07,2.490400432257674e-13",13,"1.0,0.54,0.54,0.253,0.253,0,0,0,0,0,0,0,0,0","0,0,0,209.2,209.2,0,0,0,0,0,0,0,0,0","22046.725,5","0,0,0,0","0,0,0,0.253,0.253,0,0,0,0,0,0,0,0,0","0,0,0.5,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",202.65,"2,4,6,8"
KAC,212,1,1,13,1,WI,9,"1.0,1.0,1.0,0,0,0,0,0,0","0,0,0,0",22046.725,"0,0,196.1,0,0,0,0,0,0",2,2,"-387.28130941894216,0.014082899586177918,-3.697691962242438e-09","-50.59534071842624,-4.34032587686661e-05,1.7719020302587416e-11",2,2,"-8.165643906506935,0.0003497938089961317,-1.1271238839863358e-10","-1.109424863101288,-6.103860446418555e-07,2.494239190008539e-13",13,"1.0,0.54,0.54,0.26,0.26,0,0,0,0,0,0,0,0,0","0,0,0,196.1,196.1,0,0,0,0,0,0,0,0,0","22046.725,6","0,0,0,0","0,0,0,0.26,0.26,0,0,0,0,0,0,0,0,0","0,0,0.5,0,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",189.7,"2,4,6,8"
KAC,197.5,1,0,12,1,WI,9,"1.0,1.0,1.0,0.5,0,0,0,0,0","0,0.5,0,0",22046.725,"0,0,0,183.1,0,0,0,0,0",2,2,"-501.19433090982085,0.019027928195056446,-5.319828774356998e-09","-65.70667835271634,-5.144462817450386e-05,2.1001624183596413e-11",2,2,"-9.25759655286862,0.00040806362408100265,-1.3582402466845892e-10","-1.2019271212159557,-6.103082841879832e-07,2.4904004322578776e-13",13,"1.0,0.54,0.54,0.26,0.26,0.499,0.499,0,0,0,0,0,0,0","0,0,0,0,0,183.1,183.1,0,0,0,0,0,0,0","22046.725,7","0,183.1,0,0","0,0,0,0,0,0.499,0.499,0,0,0,0,0,0,0","0,0,0,0.5,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",176.55,"2,4,6,8"
KAC,183,1,1,11,1,WI,9,"1.0,1.0,1.0,1.0,0,0,0,0,0","0,0.5,0,0",22046.725,"0,0,0,170.0,0,0,0,0,0",2,2,"-629.49750008585,0.024733209684224256,-7.245494176882808e-09","-81.842556252486,-5.9485716258841135e-05,2.4284550146847922e-11",2,2,"-10.348362447097848,0.0004663036177637696,-1.5958126236582507e-10","-1.2663196924061217,-6.200593684697917e-07,2.5324070528890553e-13",13,"1.0,0.54,0.54,0.26,0.26,0.501,0.501,0,0,0,0,0,0,0","0,0,0,0,0,170.0,170.0,0,0,0,0,0,0,0","22046.725,8","0,170,0,0","0,0,0,0,0,0.501,0.501,0,0,0,0,0,0,0","0,0,0,0.5,0,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",163.6,"2,4,6,8"
KAC,168.5,1,0,10,1,WI,9,"1.0,1.0,1.0,1.0,0.501,0,0,0,0","0,0,0,0",22046.725,"0,0,0,0,157.0,0,0,0,0",2,2,"-771.182621763085,0.03119892028297082,-9.481598236124287e-09","-98.63689388677604,-6.752708566467963e-05,2.7567154027859214e-11",2,2,"-11.439268647482576,0.0005246400419618484,-1.827205084567947e-10","-1.3029419285449904,-6.194008520015722e-07,2.4987524244335344e-13",13,"1.0,0.54,0.54,0.26,0.26,0.501,0.501,0.249,0.249,0,0,0,0,0","0,0,0,0,0,0,0,157.0,157.0,0,0,0,0,0","22046.725,9","0,0,0,0","0,0,0,0,0,0,0,0.249,0.249,0,0,0,0,0","0,0,0,0,0.501,0,0,0,0","FORE PEAK T.(C),NO.1 W.B.T.P,NO.1 W.B.T.S,NO.2 W.B.T.P,NO.2 W.B.T.S,NO.3 W.B.T.P,NO.3 W.B.T.S,NO.4 W.B.T.P,NO.4 W.B.T.S,NO.5 W.B.T.P,NO.5 W.B.T.S,NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S,AFT PEAK T.(C)",150.45,"2,4,6,8"
