ID,VSLCODE,TANKCATEGORY,TANKNAME,SG,SOUNDING,VOLUMEINPERCENTAGE,VOLUMEINCUBE,LCGLPP,VCGBL,TCG,FSM
1,FWA,CARGO,HOLD1,1.025,0,0,0,254.5,2.35,0,0
2,FWA,CARGO,HOLD1,1.025,5,0.135,2650,254.5,5,0,0
3,FWA,CARGO,HOLD1,1.025,10,0.411,8050,254.5,8,0,0
4,FWA,CARGO,HOLD1,1.025,15,0.638,12500,254.5,10.5,0,0
5,FWA,CARGO,HOLD1,1.025,20,0.956,18750,254.5,12.94,0,0
6,FWA,CARGO,HOLD1,1.025,23,0.997,19550,254.5,14,0,0
7,FWA,CARGO,HOLD1,1.025,24.3,1,19607.7,254.5,14.1,0,0
8,FWA,CARGO,HOLD2,1.025,0,0,0,228.7,2.3,0,0
9,FWA,CARGO,HOLD2,1.025,5,0.195,4700,228.7,5,0,0
10,FWA,CARGO,HOLD2,1.025,10,0.444,10700,228.7,7.7,0,0
11,FWA,CARGO,HOLD2,1.025,15,0.694,16700,228.7,10.3,0,0
12,FWA,CARGO,HOLD2,1.025,20,0.906,21800,228.7,12.4,0,0
13,FWA,CARGO,HOLD2,1.025,23,0.997,24000,228.7,13.25,0,0
14,FWA,CARGO,HOLD2,1.025,24.3,1,24073.1,228.7,13.57,0,0
15,FWA,CARGO,HOLD3,1.025,0,0,0,202.7,2.3,0,0
16,FWA,CARGO,HOLD3,1.025,5,0.183,4000,202.7,5,0,0
17,FWA,CARGO,HOLD3,1.025,10,0.447,9800,202.7,7.9,0,0
18,FWA,CARGO,HOLD3,1.025,15,0.689,15100,202.7,10.3,0,0
19,FWA,CARGO,HOLD3,1.025,20,0.913,20000,202.7,12.5,0,0
20,FWA,CARGO,HOLD3,1.025,23,0.993,21750,202.7,13.4,0,0
21,FWA,CARGO,HOLD3,1.025,24.3,1,21909.6,202.7,13.63,0,0
22,FWA,CARGO,HOLD4,1.025,0,0,0,176.6,2.3,0,0
23,FWA,CARGO,HOLD4,1.025,5,0.195,4700,176.6,5,0,0
24,FWA,CARGO,HOLD4,1.025,10,0.446,10750,176.6,7.7,0,0
25,FWA,CARGO,HOLD4,1.025,15,0.694,16750,176.6,10.3,0,0
26,FWA,CARGO,HOLD4,1.025,20,0.827,19950,176.6,12.3,0,0
27,FWA,CARGO,HOLD4,1.025,23,0.991,23900,176.6,13.2,0,0
28,FWA,CARGO,HOLD4,1.025,24.3,1,24125.6,176.6,13.56,0,0
29,FWA,CARGO,HOLD5,1.025,0,0,0,150.5,2.3,0,0
30,FWA,CARGO,HOLD5,1.025,5,0.185,4050,150.5,5,0,0
31,FWA,CARGO,HOLD5,1.025,10,0.454,9940,150.5,8.9,0,0
32,FWA,CARGO,HOLD5,1.025,15,0.694,15200,150.5,10.3,0,0
33,FWA,CARGO,HOLD5,1.025,20,0.913,20000,150.5,12.5,0,0
34,FWA,CARGO,HOLD5,1.025,23,0.991,21700,150.5,13.3,0,0
35,FWA,CARGO,HOLD5,1.025,24.3,1,21900.6,150.5,13.63,0,0
36,FWA,CARGO,HOLD6,1.025,0,0,0,124.4,2.3,0,0
37,FWA,CARGO,HOLD6,1.025,5,0.177,4150,124.4,5,0,0
38,FWA,CARGO,HOLD6,1.025,10,0.435,10200,124.4,8,0,0
39,FWA,CARGO,HOLD6,1.025,15,0.697,16350,124.4,10.5,0,0
40,FWA,CARGO,HOLD6,1.025,20,0.904,21200,124.4,12.6,0,0
41,FWA,CARGO,HOLD6,1.025,23,0.985,23100,124.4,13.4,0,0
42,FWA,CARGO,HOLD6,1.025,24.3,1,23445.2,124.4,13.66,0,0
43,FWA,CARGO,HOLD7,1.025,0,0,0,98.2,2.3,0,0
44,FWA,CARGO,HOLD7,1.025,5,0.091,2000,98.2,5,0,0
45,FWA,CARGO,HOLD7,1.025,10,0.452,9900,98.2,8,0,0
46,FWA,CARGO,HOLD7,1.025,15,0.689,15100,98.2,10.4,0,0
47,FWA,CARGO,HOLD7,1.025,20,0.913,20000,98.2,12.5,0,0
48,FWA,CARGO,HOLD7,1.025,23,0.981,21500,98.2,13.3,0,0
49,FWA,CARGO,HOLD7,1.025,24.3,1,21906,98.2,13.63,0,0
50,FWA,CARGO,HOLD8,1.025,0,0,0,72.3,2.3,0,0
51,FWA,CARGO,HOLD8,1.025,5,0.109,2600,72.3,5,0,0
52,FWA,CARGO,HOLD8,1.025,10,0.385,9200,72.3,7.8,0,0
53,FWA,CARGO,HOLD8,1.025,15,0.691,16500,72.3,10.3,0,0
54,FWA,CARGO,HOLD8,1.025,20,0.908,21700,72.3,12.5,0,0
55,FWA,CARGO,HOLD8,1.025,23,0.988,23600,72.3,13.3,0,0
56,FWA,CARGO,HOLD8,1.025,24.3,1,23886.1,72.3,13.64,0,0
57,FWA,CARGO,HOLD9,1.025,0,0,0,46.4,2.3,0,0
58,FWA,CARGO,HOLD9,1.025,5,0.115,2150,46.4,5.1,0,0
59,FWA,CARGO,HOLD9,1.025,10,0.332,6200,46.4,8.2,0,0
60,FWA,CARGO,HOLD9,1.025,15,0.643,12000,46.4,11.2,0,0
61,FWA,CARGO,HOLD9,1.025,20,0.885,16500,46.4,13.6,0,0
62,FWA,CARGO,HOLD9,1.025,23,0.976,18200,46.4,14.6,0,0
