ID,Vessel Code,Tank Category,Tank Name,Density,Capacity,Weight,LCGLPP,VCGBL,TCG,FSM,Aft Dist from AP (m),Fwd Dist from AP (m),WeightItemName
1,FWA,WB,FORE PEAK T.(C),1.025,4372.6,4372.6,273.3,10.43,0,13379.33,267.8,285.3,WBfp
2,FWA,WB,NO.1 W.B.T.P,1.025,2283.6,2283.6,254.6,10.1,0,10993.13,241.9,267.8,WB1ps
3,FWA,WB,NO.1 W.B.T.S,1.025,2283.6,2283.6,254.6,10.1,0,10993.13,241.9,267.8,WB1sb
4,FWA,WB,NO.2 W.B.T.P,1.025,5896.8,5896.8,215.3,10.82,0,33933.65,189.7,241.9,WB2ps
5,FWA,WB,NO.2 W.B.T.S,1.025,5896.8,5896.8,215.3,10.82,0,33933.65,189.7,241.9,WB2sb
6,FWA,WB,NO.3 W.B.T.P,1.025,3017.9,3017.9,176.5,10.69,0,17663.83,163.6,189.7,WB3ps
7,FWA,WB,NO.3 W.B.T.S,1.025,3017.9,3017.9,176.5,10.69,0,17663.83,163.6,189.7,WB3sb
8,FWA,WB,NO.4 W.B.T.P,1.025,6022.1,6022.1,137.4,10.72,0,35317.4,111.4,163.6,WB4ps
9,FWA,WB,NO.4 W.B.T.S,1.025,6022.1,6022.1,137.4,10.72,0,35317.4,111.4,163.6,WB4sb
10,FWA,WB,NO.5 W.B.T.P,1.025,3003.9,3003.9,98.3,10.74,0,17652.55,85.3,111.4,WB5ps
11,FWA,WB,NO.5 W.B.T.S,1.025,3003.9,3003.9,98.3,10.74,0,17652.55,85.3,111.4,WB5sb
12,FWA,WB,NO.6 W.B.T.P INC.D.W.S.T.P,1.025,4776.7,4776.7,61.1,9.93,0,18456.15,33.1,85.3,WB6ps
13,FWA,WB,NO.6 W.B.T.S (INC.D.W.S.T.S,1.025,4776.7,4776.7,61.1,9.93,0,18456.15,33.1,85.3,WB6sb
14,FWA,WB,AFT PEAK T.(C),1.025,1790.8,1790.8,3.8,16.91,0,23329,0,9.7,WBap
15,FWA,WB,NO.2 C.H./W.B.T.,1.025,16220.2,16220.2,228.7,10.05,0,206327.38,215.8,241.9,BH2WB
16,FWA,WB,NO.4 C.H./W.B.T.,1.025,16267.6,16267.6,176.6,10.05,0,209074.38,163.6,189.7,BH4WB
17,FWA,WB,NO.6 C.H./W.B.T.,1.025,23581.2,23581.2,124.4,13.72,0,208716.65,111.4,137.5,BH6WB
18,FWA,WB,NO.8 C.H./W.B.T.,1.025,16027.1,16027.1,72.3,10.11,0,209001.6,59.2,85.3,BH8WB
19,FWA,FO,NO.1 F.O./M.G.O.T.(P),0.96,1001.2,1001.2,48.3,23.01,0,2507.52,33.1,63.7,FO1fotp
20,FWA,FO,NO.1 F.O./M.G.O.T.(S),0.96,1001.2,1001.2,48.3,23.01,0,2507.52,33.1,63.7,FO1fots
21,FWA,FO,NO.2 FUEL OIL T.(P),0.96,1572,1572,24.6,19.68,0,805.44,13.3,33.1,FO2fotp
22,FWA,FO,NO.2 FUEL OIL T.(S),0.96,1345,1345,24.9,19.35,0,799.68,13.3,33.1,FO2fots
23,FWA,DO,DIESEL OIL T.(P),0.9,133.6,133.6,11.5,21.11,0,27.9,9.7,13.3,DOtkP
24,FWA,DO,DIESEL OIL T.(S),0.9,133.6,133.6,11.5,21.11,0,27.9,9.7,13.3,DOtkS
25,FWA,FW,FRESH WATER T.(P),1,304.2,304.2,3.8,22.66,0,228,-1.6,8,FWfwtp
26,FWA,FW,DRINK WATER T.(S),1,250.4,250.4,4.7,22.65,0,200,0.8,8,FWdwts
27,FWA,WB,S.T.C.F.W.T. (C),1,16.7,16.7,8.7,3.45,0,2,6.4,9.7,WBstcfw
28,FWA,LO,L.O. SUMP T. (c),0.9,28,28,20.8,1.6,0,24.3,16,26.8,LOsump
29,FWA,FO,F.O. OVERFLOW T. (c),0.96,38.3,38.3,30.8,1.44,0,26.88,29.5,32.2,FOover
30,FWA,FO,NO.1 H.F.O. SETT.T. (s),0.96,38.6,38.6,27.6,21.62,0,4.8,25.9,29.5,FO1set
31,FWA,FO,NO.2 H.F.O. SETT.T. (S),0.96,38.6,38.6,24,21.62,0,4.8,22.3,25.9,FO2set
32,FWA,FO,NO.1 H.F.O. SERV.T. (S),0.96,30.3,30.3,20.9,21.62,0,3.84,19.6,22.3,FO1ser
33,FWA,FO,NO.2 H.F.O. SERV.T. (S),0.96,30.3,30.3,18.2,21.62,0,3.84,16.9,19.6,FO2ser
34,FWA,MISC,SEWAGE HOLD. T. (P),1,26.2,26.2,27.7,1.75,0,18,25.9,29.5,MISCsewah
35,FWA,MISC,CLEAN DRAIN T. (P),1,23.4,23.4,23.2,1.88,0,9,19.6,25.9,MISCclean
36,FWA,MISC,BILGE SEP. OIL T. (c),1,19,19,14.1,1.66,0,17,13.3,15.1,MISCbilgesep
37,FWA,MISC,BILGE T. (c),1,21.7,21.7,11.6,1.55,0,12,9.7,13.3,MISCbilge
38,FWA,WC,DEAD WEIGHT CONSTANT,1,388,388,33.04,15.85,0,0,0,79,WCdwc
