Frame station,draught,Displacement,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
299,2,19042,-0.909,0.244,-0.099,-7.968,1.514,-0.59
299,2.5,24140,-0.788,0.245,-0.1,-7.211,1.513,-0.594
299,3,29301,-0.665,0.246,-0.101,-6.455,1.512,-0.598
299,3.5,34515,-0.542,0.247,-0.102,-5.699,1.511,-0.602
299,4,39775,-0.418,0.249,-0.103,-4.944,1.51,-0.606
299,4.5,45075,-0.294,0.25,-0.104,-4.189,1.509,-0.61
299,5,50413,-0.169,0.251,-0.105,-3.435,1.508,-0.614
299,5.5,55787,-0.043,0.253,-0.107,-2.681,1.507,-0.618
299,6,61195,0.083,0.254,-0.108,-1.928,1.506,-0.622
299,6.5,66637,0.21,0.255,-0.109,-1.175,1.505,-0.626
299,7,72109,0.338,0.257,-0.11,-0.423,1.504,-0.63
299,7.5,77610,0.466,0.258,-0.111,0.329,1.503,-0.634
299,8,83141,0.595,0.259,-0.112,1.08,1.502,-0.638
299,8.5,88700,0.724,0.26,-0.113,1.831,1.501,-0.642
299,9,94287,0.855,0.262,-0.115,2.581,1.5,-0.646
299,9.5,99904,0.985,0.263,-0.116,3.331,1.499,-0.65
299,10,105551,1.117,0.264,-0.117,4.08,1.498,-0.654
299,10.5,111229,1.249,0.266,-0.118,4.829,1.497,-0.658
299,11,116939,1.382,0.267,-0.119,5.577,1.496,-0.662
299,11.5,122683,1.515,0.268,-0.12,6.325,1.495,-0.666
299,12,128462,1.65,0.27,-0.122,7.072,1.494,-0.67
299,12.5,134277,1.784,0.271,-0.123,7.819,1.493,-0.674
299,13,140126,1.92,0.272,-0.124,8.565,1.491,-0.678
299,13.5,146002,2.056,0.273,-0.125,9.311,1.491,-0.682
299,14,151911,2.193,0.275,-0.126,10.056,1.49,-0.686
299,14.5,157849,2.33,0.276,-0.127,10.801,1.488,-0.69
299,15,163817,2.468,0.277,-0.128,11.545,1.488,-0.694
299,15.5,169812,2.607,0.279,-0.13,12.289,1.487,-0.698
299,16,175834,2.746,0.28,-0.131,13.032,1.486,-0.702
299,16.5,181880,2.886,0.281,-0.132,13.775,1.485,-0.706
299,17,187948,3.027,0.283,-0.133,14.517,1.484,-0.71
299,17.5,194030,3.168,0.284,-0.134,15.259,1.482,-0.714
299,18,200129,3.31,0.285,-0.135,16,1.482,-0.718
299,18.5,206249,3.452,0.286,-0.136,16.741,1.48,-0.722
299,19,212382,3.596,0.288,-0.138,17.481,1.48,-0.726
299,19.5,218522,3.739,0.289,-0.139,18.221,1.479,-0.73
299,20,224668,3.884,0.29,-0.14,18.96,1.478,-0.734
299,20.5,230825,4.029,0.292,-0.141,19.699,1.477,-0.738
284.5,2,19042,-1.271,0.679,-0.275,-22.418,7.363,-2.966
284.5,2.5,24140,-0.932,0.682,-0.277,-18.736,7.393,-2.994
284.5,3,29301,-0.591,0.685,-0.279,-15.04,7.422,-3.021
284.5,3.5,34515,-0.248,0.688,-0.281,-11.329,7.45,-3.049
284.5,4,39775,0.096,0.692,-0.284,-7.604,7.479,-3.076
284.5,4.5,45075,0.442,0.695,-0.286,-3.864,7.509,-3.104
284.5,5,50413,0.79,0.698,-0.288,-0.11,7.537,-3.131
284.5,5.5,55787,1.138,0.701,-0.291,3.659,7.566,-3.159
284.5,6,61195,1.489,0.704,-0.293,7.442,7.596,-3.186
284.5,6.5,66637,1.841,0.707,-0.295,11.24,7.625,-3.214
284.5,7,72109,2.194,0.71,-0.298,15.052,7.653,-3.241
284.5,7.5,77610,2.549,0.713,-0.3,18.879,7.683,-3.269
284.5,8,83141,2.906,0.716,-0.302,22.72,7.712,-3.296
284.5,8.5,88700,3.264,0.719,-0.304,26.576,7.741,-3.324
284.5,9,94287,3.624,0.723,-0.307,30.446,7.769,-3.351
284.5,9.5,99904,3.985,0.726,-0.309,34.331,7.799,-3.379
284.5,10,105551,4.348,0.729,-0.311,38.23,7.827,-3.406
284.5,10.5,111229,4.712,0.732,-0.314,42.144,7.857,-3.434
284.5,11,116939,5.078,0.735,-0.316,46.072,7.885,-3.461
284.5,11.5,122683,5.446,0.738,-0.318,50.015,7.915,-3.489
284.5,12,128462,5.815,0.741,-0.321,53.972,7.944,-3.516
284.5,12.5,134277,6.185,0.744,-0.323,57.944,7.973,-3.544
284.5,13,140126,6.558,0.747,-0.325,61.93,8.002,-3.571
284.5,13.5,146002,6.931,0.75,-0.327,65.931,8.03,-3.599
284.5,14,151911,7.306,0.754,-0.33,69.946,8.059,-3.626
284.5,14.5,157849,7.683,0.757,-0.332,73.976,8.089,-3.654
284.5,15,163817,8.062,0.76,-0.334,78.02,8.117,-3.681
284.5,15.5,169812,8.441,0.763,-0.337,82.079,8.147,-3.709
284.5,16,175834,8.823,0.766,-0.339,86.152,8.176,-3.736
284.5,16.5,181880,9.206,0.769,-0.341,90.24,8.204,-3.764
284.5,17,187948,9.59,0.772,-0.344,94.342,8.234,-3.791
284.5,17.5,194030,9.976,0.775,-0.346,98.459,8.262,-3.819
284.5,18,200129,10.364,0.778,-0.348,102.59,8.292,-3.846
284.5,18.5,206249,10.753,0.781,-0.35,106.736,8.32,-3.874
284.5,19,212382,11.144,0.785,-0.353,110.896,8.35,-3.901
284.5,19.5,218522,11.536,0.788,-0.355,115.071,8.378,-3.929
284.5,20,224668,11.93,0.791,-0.357,119.26,8.408,-3.956
284.5,20.5,230825,12.325,0.794,-0.36,123.464,8.437,-3.984
270,2,19042,-1.47,1.223,-0.478,-40.972,19.704,-7.871
270,2.5,24140,-0.858,1.227,-0.481,-31.12,19.78,-7.933
270,3,29301,-0.244,1.231,-0.484,-21.23,19.856,-7.995
270,3.5,34515,0.371,1.235,-0.487,-11.302,19.932,-8.057
270,4,39775,0.989,1.239,-0.49,-1.336,20.008,-8.119
270,4.5,45075,1.609,1.243,-0.493,8.668,20.084,-8.181
270,5,50413,2.23,1.247,-0.496,18.71,20.16,-8.243
270,5.5,55787,2.853,1.251,-0.499,28.79,20.236,-8.305
270,6,61195,3.479,1.255,-0.502,38.908,20.312,-8.367
270,6.5,66637,4.106,1.259,-0.504,49.064,20.388,-8.429
270,7,72109,4.735,1.262,-0.507,59.258,20.464,-8.491
270,7.5,77610,5.367,1.266,-0.51,69.49,20.54,-8.553
270,8,83141,6,1.27,-0.513,79.76,20.616,-8.615
270,8.5,88700,6.635,1.274,-0.516,90.068,20.692,-8.677
270,9,94287,7.272,1.278,-0.519,100.414,20.768,-8.739
270,9.5,99904,7.911,1.282,-0.522,110.798,20.844,-8.801
270,10,105551,8.552,1.286,-0.525,121.22,20.92,-8.863
270,10.5,111229,9.195,1.29,-0.528,131.68,20.996,-8.925
270,11,116939,9.84,1.294,-0.531,142.178,21.072,-8.987
270,11.5,122683,10.487,1.298,-0.533,152.714,21.148,-9.049
270,12,128462,11.135,1.301,-0.536,163.288,21.224,-9.111
270,12.5,134277,11.786,1.305,-0.539,173.9,21.3,-9.173
270,13,140126,12.439,1.309,-0.542,184.55,21.376,-9.235
270,13.5,146002,13.093,1.313,-0.545,195.238,21.452,-9.297
270,14,151911,13.75,1.317,-0.548,205.964,21.528,-9.359
270,14.5,157849,14.409,1.321,-0.551,216.728,21.604,-9.421
270,15,163817,15.069,1.325,-0.554,227.53,21.68,-9.483
270,15.5,169812,15.731,1.329,-0.557,238.37,21.756,-9.545
270,16,175834,16.396,1.333,-0.56,249.248,21.832,-9.607
270,16.5,181880,17.062,1.337,-0.562,260.164,21.908,-9.669
270,17,187948,17.73,1.34,-0.565,271.118,21.984,-9.731
270,17.5,194030,18.401,1.344,-0.568,282.11,22.06,-9.793
270,18,200129,19.073,1.348,-0.571,293.14,22.136,-9.855
270,18.5,206249,19.747,1.352,-0.574,304.208,22.212,-9.917
270,19,212382,20.423,1.356,-0.577,315.314,22.288,-9.979
270,19.5,218522,21.101,1.36,-0.58,326.458,22.364,-10.041
270,20,224668,21.781,1.364,-0.583,337.64,22.44,-10.103
270,20.5,230825,22.463,1.368,-0.586,348.86,22.516,-10.165
255.5,2,19042,-1.605,1.813,-0.676,-60.666,39.492,-15.418
255.5,2.5,24140,-0.698,1.817,-0.679,-40.92,39.622,-15.519
255.5,3,29301,0.211,1.822,-0.682,-21.109,39.752,-15.62
255.5,3.5,34515,1.121,1.826,-0.685,-1.233,39.882,-15.721
255.5,4,39775,2.034,1.83,-0.688,18.708,40.012,-15.822
255.5,4.5,45075,2.949,1.834,-0.691,38.714,40.142,-15.923
255.5,5,50413,3.867,1.839,-0.695,58.785,40.272,-16.024
255.5,5.5,55787,4.786,1.843,-0.698,78.921,40.402,-16.125
255.5,6,61195,5.707,1.847,-0.701,99.122,40.532,-16.226
255.5,6.5,66637,6.631,1.852,-0.704,119.388,40.662,-16.327
255.5,7,72109,7.557,1.856,-0.707,139.719,40.792,-16.428
255.5,7.5,77610,8.485,1.86,-0.71,160.115,40.922,-16.529
255.5,8,83141,9.415,1.865,-0.713,180.576,41.052,-16.63
255.5,8.5,88700,10.347,1.869,-0.716,201.102,41.182,-16.731
255.5,9,94287,11.282,1.873,-0.719,221.693,41.312,-16.832
255.5,9.5,99904,12.218,1.877,-0.722,242.349,41.442,-16.933
255.5,10,105551,13.157,1.882,-0.726,263.07,41.572,-17.034
255.5,10.5,111229,14.098,1.886,-0.729,283.856,41.702,-17.135
255.5,11,116939,15.041,1.89,-0.732,304.707,41.832,-17.236
255.5,11.5,122683,15.986,1.895,-0.735,325.623,41.962,-17.337
255.5,12,128462,16.933,1.899,-0.738,346.604,42.092,-17.438
255.5,12.5,134277,17.883,1.903,-0.741,367.65,42.222,-17.539
255.5,13,140126,18.835,1.908,-0.744,388.761,42.352,-17.64
255.5,13.5,146002,19.788,1.912,-0.747,409.937,42.482,-17.741
255.5,14,151911,20.744,1.916,-0.75,431.178,42.612,-17.842
255.5,14.5,157849,21.702,1.92,-0.753,452.484,42.742,-17.943
255.5,15,163817,22.663,1.925,-0.757,473.855,42.872,-18.044
255.5,15.5,169812,23.625,1.929,-0.76,495.291,43.002,-18.145
255.5,16,175834,24.589,1.933,-0.763,516.792,43.132,-18.246
255.5,16.5,181880,25.556,1.938,-0.766,538.358,43.262,-18.347
255.5,17,187948,26.525,1.942,-0.769,559.989,43.392,-18.448
255.5,17.5,194030,27.496,1.946,-0.772,581.685,43.522,-18.549
255.5,18,200129,28.469,1.951,-0.775,603.446,43.652,-18.65
255.5,18.5,206249,29.444,1.955,-0.778,625.272,43.782,-18.751
255.5,19,212382,30.422,1.959,-0.781,647.163,43.912,-18.852
255.5,19.5,218522,31.401,1.963,-0.784,669.119,44.042,-18.953
255.5,20,224668,32.383,1.968,-0.788,691.14,44.172,-19.054
255.5,20.5,230825,33.367,1.972,-0.791,713.226,44.302,-19.155
241,2,19042,-1.643,2.413,-0.852,-81.8,67.065,-25.415
241,2.5,24140,-0.436,2.418,-0.855,-48.268,67.251,-25.557
241,3,29301,0.773,2.422,-0.858,-14.642,67.437,-25.699
241,3.5,34515,1.984,2.426,-0.861,19.077,67.623,-25.841
241,4,39775,3.197,2.431,-0.864,52.888,67.809,-25.983
241,4.5,45075,4.413,2.435,-0.868,86.793,67.995,-26.125
241,5,50413,5.63,2.439,-0.871,120.79,68.181,-26.267
241,5.5,55787,6.85,2.444,-0.874,154.881,68.367,-26.409
241,6,61195,8.071,2.448,-0.877,189.064,68.553,-26.551
241,6.5,66637,9.295,2.452,-0.88,223.341,68.739,-26.693
241,7,72109,10.521,2.456,-0.883,257.71,68.925,-26.835
241,7.5,77610,11.75,2.461,-0.886,292.173,69.111,-26.977
241,8,83141,12.98,2.465,-0.89,326.728,69.297,-27.119
241,8.5,88700,14.213,2.469,-0.893,361.377,69.483,-27.261
241,9,94287,15.447,2.474,-0.896,396.118,69.669,-27.403
241,9.5,99904,16.684,2.478,-0.899,430.953,69.855,-27.545
241,10,105551,17.923,2.482,-0.902,465.88,70.041,-27.687
241,10.5,111229,19.164,2.487,-0.905,500.901,70.227,-27.829
241,11,116939,20.407,2.491,-0.908,536.014,70.413,-27.971
241,11.5,122683,21.653,2.495,-0.912,571.221,70.599,-28.113
241,12,128462,22.9,2.499,-0.915,606.52,70.785,-28.255
241,12.5,134277,24.15,2.504,-0.918,641.913,70.971,-28.397
241,13,140126,25.402,2.508,-0.921,677.398,71.157,-28.539
241,13.5,146002,26.656,2.512,-0.924,712.977,71.343,-28.681
241,14,151911,27.912,2.517,-0.927,748.648,71.529,-28.823
241,14.5,157849,29.171,2.521,-0.931,784.413,71.715,-28.965
241,15,163817,30.431,2.525,-0.934,820.27,71.901,-29.107
241,15.5,169812,31.694,2.53,-0.937,856.221,72.087,-29.249
241,16,175834,32.958,2.534,-0.94,892.264,72.273,-29.391
241,16.5,181880,34.225,2.538,-0.943,928.401,72.459,-29.533
241,17,187948,35.494,2.542,-0.946,964.63,72.645,-29.675
241,17.5,194030,36.766,2.547,-0.949,1000.953,72.831,-29.817
241,18,200129,38.039,2.551,-0.953,1037.368,73.017,-29.959
241,18.5,206249,39.315,2.555,-0.956,1073.877,73.203,-30.101
241,19,212382,40.592,2.56,-0.959,1110.478,73.389,-30.243
241,19.5,218522,41.872,2.564,-0.962,1147.173,73.575,-30.385
241,20,224668,43.154,2.568,-0.965,1183.96,73.761,-30.527
241,20.5,230825,44.438,2.573,-0.968,1220.841,73.947,-30.669
226.5,2,19042,-1.655,3.015,-1,-103.238,102.489,-37.53
226.5,2.5,24140,-0.147,3.02,-1.003,-51.994,102.732,-37.713
226.5,3,29301,1.363,3.024,-1.007,-0.628,102.975,-37.896
226.5,3.5,34515,2.874,3.028,-1.01,50.859,103.218,-38.079
226.5,4,39775,4.389,3.033,-1.013,102.468,103.461,-38.262
226.5,4.5,45075,5.905,3.037,-1.016,154.198,103.704,-38.445
226.5,5,50413,7.424,3.042,-1.019,206.05,103.947,-38.628
226.5,5.5,55787,8.944,3.046,-1.022,258.023,104.19,-38.811
226.5,6,61195,10.467,3.05,-1.025,310.118,104.433,-38.994
226.5,6.5,66637,11.992,3.055,-1.029,362.334,104.676,-39.177
226.5,7,72109,13.52,3.059,-1.032,414.672,104.919,-39.36
226.5,7.5,77610,15.049,3.064,-1.035,467.131,105.162,-39.543
226.5,8,83141,16.581,3.068,-1.038,519.712,105.405,-39.726
226.5,8.5,88700,18.115,3.072,-1.041,572.414,105.648,-39.909
226.5,9,94287,19.651,3.077,-1.044,625.238,105.891,-40.092
226.5,9.5,99904,21.189,3.081,-1.047,678.183,106.134,-40.275
226.5,10,105551,22.73,3.086,-1.051,731.25,106.377,-40.458
226.5,10.5,111229,24.273,3.09,-1.054,784.438,106.62,-40.641
226.5,11,116939,25.818,3.094,-1.057,837.748,106.863,-40.824
226.5,11.5,122683,27.365,3.099,-1.06,891.179,107.106,-41.007
226.5,12,128462,28.914,3.103,-1.063,944.732,107.349,-41.19
226.5,12.5,134277,30.466,3.107,-1.066,998.406,107.592,-41.373
