Draft at mid-Hold(m),Max. sea (MT),Max. harbour (MT),Min. sea (MT),Min. harbour (MT),Hold
0,10017,12975,0,0,1
6.83,14530,17500,0,0,1
8.44,15920,18570,0,0,1
8.47,15800,18681,0,0,1
9.65,16600,18681,0,0,1
11.95,18050,18681,0,0,1
12.84,18681,18681,0,0,1
12.85,18650,18681,0,0,1
14.4,18681,18681,1650,0,1
0,7158,9368,0,0,2
6.83,12470,14620,0,0,2
8.44,13950,14730,0,0,2
8.47,13850,14730,0,0,2
9.65,14730,14730,0,0,2
11.95,14730,14730,0,0,2
12.84,14730,14730,0,0,2
12.85,14730,14730,0,0,2
14.4,14730,14730,0,0,2
0,11450,14823,0,0,3
6.83,16700,20000,0,0,3
8.44,18020,21292,0,0,3
8.47,17920,21292,0,0,3
9.65,18950,21292,0,0,3
11.95,20600,21292,0,0,3
12.84,21292,21292,0,0,3
12.85,21292,21292,0,0,3
14.4,21292,21292,1876,0,3
0,6175,8080,0,0,4
6.83,10760,12698,0,0,4
8.44,11960,12698,0,0,4
8.47,11870,12698,0,0,4
9.65,12698,12698,0,0,4
11.95,12698,12698,0,0,4
12.84,12698,12698,0,0,4
12.85,12698,12698,0,0,4
14.4,12698,12698,0,0,4
0,11423,14788,0,0,5
6.83,16590,20000,0,0,5
8.44,17900,21242,0,0,5
8.47,17940,21242,0,0,5
9.65,18750,21242,0,0,5
11.95,20500,21242,0,0,5
12.84,21242,21242,0,0,5
12.85,21242,21242,0,0,5
14.4,21242,21242,1871,0,5
0,6935,9075,0,0,6
6.83,12020,14264,0,0,6
8.44,13340,14264,0,0,6
8.47,13500,14264,0,0,6
9.65,14264,14264,0,0,6
11.95,14264,14264,0,0,6
12.84,14264,14264,0,0,6
12.85,14264,14264,0,0,6
14.4,14264,14264,0,0,6
0,11402,14761,0,0,7
6.83,16540,20000,0,0,7
8.44,17800,21205,0,0,7
8.47,17950,21205,0,0,7
9.65,18800,21205,0,0,7
11.95,20520,21205,0,0,7
12.84,21175,21205,0,0,7
12.85,21205,21205,0,0,7
14.4,21205,21205,1868,0,7
