Vessel,Expreesion type(Cargo/Ballast),Tank_name(Optional),TankDegree,TankConst
KAC,Cargo,FORE PEAK TANK,7,"215.45412894218438,0.014321954768889854,-6.501849897879495e-05,1.7233407445448926e-07,-2.573171219733096e-10,2.139421125157329e-13,-9.238950013004392e-17,1.6139419414746342e-20"
KAC,Cargo,NO. 1 T. & BTM. W. B. TK. S,7,"199.24047625930265,-0.01129204651385412,0.00016370960566695607,-7.570323730004166e-07,1.6085610925938266e-09,-1.706937677701824e-12,8.812265032880621e-16,-1.7659816700822897e-19"
KAC,Cargo,NO. 1 T. & BTM. W. B. TK. P,7,"199.24047625930265,-0.01129204651385412,0.00016370960566695607,-7.570323730004166e-07,1.6085610925938266e-09,-1.706937677701824e-12,8.812265032880621e-16,-1.7659816700822897e-19"
KAC,Cargo,NO. 2 T. S. & BTM. W. B. TK. S,7,"174.21815201504967,-0.0009503560758465939,1.5566212137443306e-05,-7.425046337673081e-08,1.5512624233635265e-10,-1.5748530298756966e-13,7.611301773662015e-17,-1.4050524860764853e-20"
KAC,Cargo,NO. 2 T. S. & BTM. W. B. TK. P,7,"174.21815201504967,-0.0009503560758465939,1.5566212137443306e-05,-7.425046337673081e-08,1.5512624233635265e-10,-1.5748530298756966e-13,7.611301773662015e-17,-1.4050524860764853e-20"
KAC,Cargo,NO. 3 S. & BTM. W. B. TK. S,7,"134.89859506799587,-0.0007707304288772096,5.752432580456496e-06,-1.3870663827212708e-08,1.5029769915687475e-11,-8.016598968833946e-15,2.0513751607707057e-18,-2.0143823328837416e-22"
KAC,Cargo,NO. 3 S. & BTM. W. B. TK. P,7,"134.89859506799587,-0.0007707304288772096,5.752432580456496e-06,-1.3870663827212708e-08,1.5029769915687475e-11,-8.016598968833946e-15,2.0513751607707057e-18,-2.0143823328837416e-22"
KAC,Cargo,NO. 4 T. S. & BTM. W. B. TK. S,6,"82.66632925583595,0.0009314080503993174,-6.100755590631864e-06,1.0739351221223726e-08,-8.37505829525071e-12,2.992065373436044e-15,-3.919825031770574e-19"
KAC,Cargo,NO. 4 T. S. & BTM. W. B. TK. P,6,"82.66632925583595,0.0009314080503993174,-6.100755590631864e-06,1.0739351221223726e-08,-8.37505829525071e-12,2.992065373436044e-15,-3.919825031770574e-19"
KAC,Cargo,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,7,"42.258808264781884,-0.014075256504044328,0.0002268972290363249,-1.3948242402723345e-06,4.033749463967433e-09,-5.913696216120823e-12,4.2375027727198e-15,-1.1780922133749433e-18"
KAC,Cargo,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,7,"42.258808264781884,-0.014075256504044328,0.0002268972290363249,-1.3948242402723345e-06,4.033749463967433e-09,-5.913696216120823e-12,4.2375027727198e-15,-1.1780922133749433e-18"
KAC,Cargo,AFT PEAK TANK,7,"7.140395575523792,-0.029882217855586358,0.00018546027572932737,-7.044920992379659e-07,1.4697198749638703e-09,-1.6583531424785031e-12,9.48987153813729e-16,-2.159922799026818e-19"
