Trim,DRAFT,DISPL,TPC,LCB,LCF,MTC,TKM,VCB,LKM,DISP_NAKED,,
-1,2,11838,61.22,122.12,121.38,826.79,41.89,1.01,1608.84,11707,,
-1,2.1,12449,61.36,122.08,121.32,831.74,40.08,1.06,1538.84,12318,,
-1,2.2,13062,61.5,122.04,121.26,836.47,38.4,1.11,1473.85,12931,,
-1,2.3,13676,61.63,122,121.2,840.98,36.86,1.17,1413.55,13545,,
-1,2.4,14292,61.76,121.96,121.15,845.29,35.44,1.22,1357.64,14161,,
-1,2.5,14908,61.88,121.92,121.09,849.4,34.13,1.27,1305.8,14777,,
-1,2.6,15526,62,121.88,121.03,853.34,32.92,1.32,1257.72,15395,,
-1,2.7,16145,62.11,121.85,120.98,857.1,31.81,1.37,1213.11,16014,,
-1,2.8,16765,62.22,121.81,120.92,860.71,30.78,1.42,1171.64,16634,,
-1,2.9,17387,62.32,121.77,120.86,864.18,29.83,1.47,1133.02,17256,,
-1,3,18009,62.42,121.74,120.81,867.51,28.95,1.53,1096.93,17878,,
-1,3.1,18633,62.53,121.7,120.75,870.73,28.13,1.58,1063.08,18502,,
-1,3.2,19256,62.62,121.67,120.7,873.83,27.36,1.63,1031.28,19125,,
-1,3.3,19882,62.71,121.63,120.64,876.82,26.64,1.68,1001.39,19751,,
-1,3.4,20508,62.8,121.6,120.59,879.72,25.97,1.73,973.29,20377,,
-1,3.5,21135,62.88,121.56,120.54,882.51,25.34,1.78,946.84,21004,,
-1,3.6,21763,62.96,121.53,120.48,885.21,24.75,1.83,921.93,21632,,
-1,3.7,22391,63.04,121.5,120.43,887.82,24.19,1.88,898.42,22260,,
-1,3.8,23020,63.11,121.47,120.37,890.35,23.67,1.94,876.18,22889,,
-1,3.9,23651,63.18,121.43,120.31,892.81,23.18,1.99,855.09,23520,,
-1,4,24281,63.25,121.4,120.26,895.19,22.72,2.04,835.01,24150,,
-1,4.1,24913,63.33,121.37,120.2,897.5,22.28,2.09,815.82,24782,,
-1,4.2,25544,63.39,121.34,120.14,899.75,21.87,2.14,797.46,25413,,
-1,4.3,26178,63.46,121.3,120.09,901.95,21.47,2.19,779.89,26047,,
-1,4.4,26810,63.52,121.27,120.03,904.11,21.09,2.24,763.08,26679,,
-1,4.5,27445,63.58,121.24,119.97,906.23,20.74,2.29,747,27314,,
-1,4.6,28079,63.64,121.21,119.91,908.32,20.4,2.35,731.61,27948,,
-1,4.7,28714,63.71,121.18,119.84,910.4,20.07,2.4,716.89,28583,,
-1,4.8,29350,63.76,121.14,119.78,912.47,19.77,2.45,702.79,29219,,
-1,4.9,29986,63.82,121.11,119.71,914.55,19.47,2.5,689.3,29855,,
-1,5,30623,63.88,121.08,119.65,916.63,19.2,2.55,676.36,30492,,
-1,5.1,31261,63.94,121.05,119.58,918.72,18.93,2.6,663.96,31130,,
-1,5.2,31898,63.99,121.01,119.5,920.84,18.68,2.65,652.06,31767,,
-1,5.3,32536,64.05,120.98,119.43,922.98,18.44,2.7,640.65,32405,,
-1,5.4,33175,64.11,120.95,119.35,925.15,18.21,2.75,629.69,33044,,
