ID,VSLCODE,TANKCATEGORY,TANKNAME,SG,SOUNDING,VOLUMEINPERCENTAGE,VOLUMEINCUBE,LCGLPP,VCGBL,TCG,FSM
1,KAC,CARGO,HOLD1,1.025,0,0,0,198.68,1.72,0,15918.05
2,KAC,CARGO,HOLD1,1.025,0.379,0.013,167.36,198.69,1.91,0,16302.32
3,KAC,CARGO,HOLD1,1.025,0.779,0.028,353.17,198.68,2.12,0,18397.93
4,KAC,CARGO,HOLD1,1.025,1.179,0.043,548.56,198.67,2.33,0,20872.9
5,KAC,CARGO,HOLD1,1.025,1.579,0.06,753.7,198.66,2.54,0,23378.3
6,KAC,CARGO,HOLD1,1.025,2.079,0.081,1023.88,198.64,2.8,0,26973.59
7,KAC,CARGO,HOLD1,1.025,2.479,0.099,1251.15,198.63,3.02,0,29976.74
8,KAC,CARGO,HOLD1,1.025,2.879,0.118,1488.56,198.61,3.24,0,33477.94
9,KAC,CARGO,HOLD1,1.025,3.279,0.138,1736.12,198.59,3.46,0,36976.57
10,KAC,CARGO,HOLD1,1.025,3.679,0.158,1993.85,198.57,3.69,0,41079.54
11,KAC,CARGO,HOLD1,1.025,4.079,0.179,2261.88,198.55,3.92,0,44630.86
12,KAC,CARGO,HOLD1,1.025,4.479,0.201,2541.88,198.51,4.15,0,47134.32
13,KAC,CARGO,HOLD1,1.025,4.879,0.224,2827.97,198.49,4.37,0,49146.09
14,KAC,CARGO,HOLD1,1.025,5.279,0.247,3118.99,198.49,4.6,0,51012.82
15,KAC,CARGO,HOLD1,1.025,5.679,0.271,3414.48,198.49,4.82,0,52707.55
16,KAC,CARGO,HOLD1,1.025,6.079,0.294,3713.94,198.51,5.05,0,54203.33
17,KAC,CARGO,HOLD1,1.025,6.479,0.318,4016.83,198.52,5.27,0,55471.57
18,KAC,CARGO,HOLD1,1.025,6.879,0.342,4322.51,198.55,5.49,0,56445.83
19,KAC,CARGO,HOLD1,1.025,7.279,0.367,4630.12,198.57,5.71,0,56903.7
20,KAC,CARGO,HOLD1,1.025,7.679,0.391,4938.14,198.59,5.93,0,56903.7
21,KAC,CARGO,HOLD1,1.025,8.179,0.422,5323.16,198.62,6.2,0,56903.59
22,KAC,CARGO,HOLD1,1.025,8.579,0.446,5631.17,198.63,6.41,0,56903.08
23,KAC,CARGO,HOLD1,1.025,8.979,0.471,5939.18,198.65,6.62,0,56902.47
24,KAC,CARGO,HOLD1,1.025,9.379,0.495,6247.2,198.66,6.84,0,56901.75
25,KAC,CARGO,HOLD1,1.025,9.779,0.519,6555.21,198.67,7.04,0,56901.03
26,KAC,CARGO,HOLD1,1.025,10.179,0.544,6863.22,198.69,7.25,0,56900.42
27,KAC,CARGO,HOLD1,1.025,10.579,0.568,7171.23,198.7,7.46,0,56899.39
28,KAC,CARGO,HOLD1,1.025,10.979,0.593,7479.23,198.7,7.67,0,56897.85
29,KAC,CARGO,HOLD1,1.025,11.379,0.617,7787.24,198.71,7.88,0,56895.8
30,KAC,CARGO,HOLD1,1.025,11.779,0.641,8095.24,198.72,8.08,0,56893.45
31,KAC,CARGO,HOLD1,1.025,12.179,0.666,8403.24,198.73,8.29,0,56891.91
32,KAC,CARGO,HOLD1,1.025,12.579,0.69,8711.23,198.74,8.49,0,56891.6
33,KAC,CARGO,HOLD1,1.025,12.979,0.715,9019.23,198.74,8.7,0,56891.5
34,KAC,CARGO,HOLD1,1.025,13.379,0.739,9327.05,198.75,8.9,0,56238.16
35,KAC,CARGO,HOLD1,1.025,13.879,0.769,9706.69,198.76,9.16,0,51820.62
36,KAC,CARGO,HOLD1,1.025,14.279,0.792,10002.09,198.77,9.35,0,47087.89
37,KAC,CARGO,HOLD1,1.025,14.679,0.815,10287.86,198.79,9.54,0,41953.76
38,KAC,CARGO,HOLD1,1.025,15.079,0.837,10562.49,198.8,9.73,0,36717.14
39,KAC,CARGO,HOLD1,1.025,15.479,0.858,10824.74,198.82,9.9,0,31578.1
40,KAC,CARGO,HOLD1,1.025,15.879,0.877,11073.54,198.83,10.07,0,26629.09
41,KAC,CARGO,HOLD1,1.025,16.279,0.896,11305.99,198.85,10.23,0,21769.77
42,KAC,CARGO,HOLD1,1.025,16.679,0.913,11519.75,198.87,10.38,0,17755.15
43,KAC,CARGO,HOLD1,1.025,17.079,0.928,11718.26,198.89,10.52,0,14248.12
44,KAC,CARGO,HOLD1,1.025,17.479,0.943,11901.68,198.9,10.65,0,11245.58
45,KAC,CARGO,HOLD1,1.025,17.879,0.956,12070.12,198.92,10.77,0,8706.25
46,KAC,CARGO,HOLD1,1.025,18.279,0.968,12224.47,198.93,10.88,0,7229.63
47,KAC,CARGO,HOLD1,1.025,18.679,0.98,12374.79,198.95,11,0,7185.05
48,KAC,CARGO,HOLD1,1.025,19.079,0.99,12500.45,198.96,11.09,0,2616.93
49,KAC,CARGO,HOLD1,1.025,19.479,0.996,12575.57,198.95,11.15,0,2616.93
50,KAC,CARGO,HOLD1,1.025,19.729,1,12622.53,198.94,11.19,0,2616.93
51,KAC,CARGO,HOLD2,1.025,0,0,0,172.95,1.72,0,0
52,KAC,CARGO,HOLD2,1.025,0.38,0.015,222.57,172.95,1.91,0,30928.97
53,KAC,CARGO,HOLD2,1.025,0.78,0.032,467.85,172.94,2.12,0,34382.91
54,KAC,CARGO,HOLD2,1.025,1.18,0.049,723.93,172.92,2.32,0,38301.28
55,KAC,CARGO,HOLD2,1.025,1.58,0.067,991.04,172.91,2.53,0,42335.17
56,KAC,CARGO,HOLD2,1.025,2.08,0.091,1340.65,172.89,2.8,0,47907.99
57,KAC,CARGO,HOLD2,1.025,2.48,0.111,1633.11,172.87,3.01,0,52638.26
58,KAC,CARGO,HOLD2,1.025,2.88,0.132,1937.22,172.85,3.23,0,57979.54
59,KAC,CARGO,HOLD2,1.025,3.28,0.153,2252.82,172.84,3.45,0,63162.96
60,KAC,CARGO,HOLD2,1.025,3.68,0.175,2578.98,172.81,3.67,0,68955.95
61,KAC,CARGO,HOLD2,1.025,4.08,0.198,2915.81,172.78,3.9,0,74534.41
62,KAC,CARGO,HOLD2,1.025,4.48,0.222,3270.12,172.76,4.12,0,79341.56
63,KAC,CARGO,HOLD2,1.025,4.88,0.246,3626.56,172.74,4.35,0,79341.56
64,KAC,CARGO,HOLD2,1.025,5.28,0.27,3983,172.72,4.57,0,79341.56
65,KAC,CARGO,HOLD2,1.025,5.68,0.295,4339.44,172.71,4.78,0,79341.56
66,KAC,CARGO,HOLD2,1.025,6.08,0.319,4695.88,172.7,5,0,79341.56
67,KAC,CARGO,HOLD2,1.025,6.48,0.343,5052.32,172.69,5.21,0,79341.56
68,KAC,CARGO,HOLD2,1.025,6.88,0.367,5408.76,172.68,5.42,0,79341.56
69,KAC,CARGO,HOLD2,1.025,7.28,0.391,5765.2,172.67,5.63,0,79341.56
70,KAC,CARGO,HOLD2,1.025,7.68,0.416,6121.64,172.67,5.84,0,79341.56
71,KAC,CARGO,HOLD2,1.025,8.18,0.446,6567.19,172.66,6.09,0,79341.56
72,KAC,CARGO,HOLD2,1.025,8.58,0.47,6923.63,172.66,6.3,0,79341.66
73,KAC,CARGO,HOLD2,1.025,8.98,0.494,7280.07,172.65,6.51,0,79341.87
74,KAC,CARGO,HOLD2,1.025,9.38,0.518,7636.51,172.65,6.71,0,79342.18
75,KAC,CARGO,HOLD2,1.025,9.78,0.543,7992.95,172.64,6.92,0,79342.38
76,KAC,CARGO,HOLD2,1.025,10.18,0.567,8349.39,172.64,7.12,0,79342.59
77,KAC,CARGO,HOLD2,1.025,10.58,0.591,8705.83,172.64,7.32,0,79343
78,KAC,CARGO,HOLD2,1.025,10.98,0.615,9062.27,172.63,7.53,0,79343.51
79,KAC,CARGO,HOLD2,1.025,11.38,0.639,9418.72,172.63,7.73,0,79344.12
80,KAC,CARGO,HOLD2,1.025,11.78,0.664,9775.16,172.63,7.93,0,79344.74
81,KAC,CARGO,HOLD2,1.025,12.18,0.688,10131.61,172.63,8.14,0,79345.35
82,KAC,CARGO,HOLD2,1.025,12.58,0.712,10488.05,172.62,8.34,0,79345.56
83,KAC,CARGO,HOLD2,1.025,12.98,0.736,10844.5,172.62,8.54,0,79345.76
84,KAC,CARGO,HOLD2,1.025,13.38,0.76,11198.62,172.62,8.74,0,73837.21
85,KAC,CARGO,HOLD2,1.025,13.88,0.789,11621.65,172.62,8.98,0,62312.21
86,KAC,CARGO,HOLD2,1.025,14.28,0.811,11942.86,172.61,9.17,0,54007.56
87,KAC,CARGO,HOLD2,1.025,14.68,0.832,12248.75,172.61,9.34,0,46475.76
88,KAC,CARGO,HOLD2,1.025,15.08,0.851,12539.33,172.61,9.51,0,39678.98
89,KAC,CARGO,HOLD2,1.025,15.48,0.87,12814.6,172.6,9.67,0,33579.51
90,KAC,CARGO,HOLD2,1.025,15.88,0.888,13074.56,172.6,9.83,0,28139.53
91,KAC,CARGO,HOLD2,1.025,16.28,0.904,13316.21,172.6,9.97,0,22498.96
92,KAC,CARGO,HOLD2,1.025,16.68,0.919,13537.14,172.6,10.1,0,18351.91
93,KAC,CARGO,HOLD2,1.025,17.08,0.933,13742.34,172.6,10.23,0,14729.56
94,KAC,CARGO,HOLD2,1.025,17.48,0.946,13931.96,172.6,10.35,0,11627.6
95,KAC,CARGO,HOLD2,1.025,17.88,0.958,14106.14,172.6,10.46,0,9003.5
96,KAC,CARGO,HOLD2,1.025,18.28,0.969,14265.77,172.61,10.57,0,7478.09
97,KAC,CARGO,HOLD2,1.025,18.68,0.979,14421.26,172.61,10.67,0,7435.04
98,KAC,CARGO,HOLD2,1.025,19.08,0.989,14561.19,172.61,10.77,0,4959.36
99,KAC,CARGO,HOLD2,1.025,19.48,0.996,14664.8,172.61,10.84,0,4959.36
100,KAC,CARGO,HOLD2,1.025,19.73,1,14729.55,172.61,10.88,0,4959.36
101,KAC,CARGO,HOLD3,1.025,0,0,0,145.28,1.72,0,27830.19
102,KAC,CARGO,HOLD3,1.025,0.378,0.015,221.44,145.28,1.91,0,30802.38
103,KAC,CARGO,HOLD3,1.025,0.778,0.032,465.9,145.28,2.12,0,34250.68
104,KAC,CARGO,HOLD3,1.025,1.178,0.05,720.57,145.28,2.32,0,37975.43
105,KAC,CARGO,HOLD3,1.025,1.578,0.069,985.61,145.28,2.53,0,41982.87
106,KAC,CARGO,HOLD3,1.025,2.078,0.093,1331.71,145.28,2.8,0,47294.53
107,KAC,CARGO,HOLD3,1.025,2.478,0.113,1620.66,145.28,3.01,0,51976.01
108,KAC,CARGO,HOLD3,1.025,2.878,0.133,1920.47,145.28,3.23,0,57016.75
109,KAC,CARGO,HOLD3,1.025,3.278,0.155,2230.45,145.28,3.45,0,61886.63
110,KAC,CARGO,HOLD3,1.025,3.678,0.177,2548.86,145.28,3.67,0,66912.82
111,KAC,CARGO,HOLD3,1.025,4.078,0.2,2875.56,145.28,3.89,0,72204.08
112,KAC,CARGO,HOLD3,1.025,4.478,0.224,3220,145.28,4.11,0,77025.47
113,KAC,CARGO,HOLD3,1.025,4.878,0.248,3566.7,145.28,4.33,0,77025.47
114,KAC,CARGO,HOLD3,1.025,5.278,0.272,3913.4,145.28,4.55,0,77025.47
115,KAC,CARGO,HOLD3,1.025,5.678,0.296,4260.1,145.27,4.77,0,77025.47
116,KAC,CARGO,HOLD3,1.025,6.078,0.32,4606.79,145.27,4.98,0,77025.47
117,KAC,CARGO,HOLD3,1.025,6.478,0.344,4953.49,145.27,5.19,0,77025.47
118,KAC,CARGO,HOLD3,1.025,6.878,0.368,5300.19,145.27,5.4,0,77025.47
119,KAC,CARGO,HOLD3,1.025,7.278,0.393,5646.89,145.27,5.61,0,77025.47
120,KAC,CARGO,HOLD3,1.025,7.778,0.423,6080.26,145.27,5.87,0,77025.47
121,KAC,CARGO,HOLD3,1.025,8.178,0.447,6426.95,145.27,6.08,0,77025.47
122,KAC,CARGO,HOLD3,1.025,8.578,0.471,6773.65,145.27,6.28,0,77025.47
123,KAC,CARGO,HOLD3,1.025,8.978,0.495,7120.35,145.27,6.49,0,77025.47
124,KAC,CARGO,HOLD3,1.025,9.378,0.519,7467.05,145.27,6.69,0,77025.47
125,KAC,CARGO,HOLD3,1.025,9.778,0.543,7813.74,145.27,6.9,0,77025.47
