ID,Vessel Code,Tank Category,Tank Name,Density,Capacity,Weight,LCGLPP,VCGBL,TCG,FSM,Aft Dist from AP (m),Fwd Dist from AP (m),WeightItemName
1,KAC,WB,FORE PEAK TANK,1.025,1489.41,1489.41,217.58,4.98,0,4870.8,212.755,226.595,WBfp
4,KAC,WB,NO. 1 T. & BTM. W. B. TK. S,1.025,1400.64,1400.64,199.79,8.04,0,0,185.94,212.755,WB1sb
5,KAC,WB,NO. 1 T. & BTM. W. B. TK. P,1.025,1400.64,1400.64,199.79,8.04,0,0,185.94,212.755,WB1ps
8,KAC,WB,NO. 2 T. S. & BTM. W. B. TK. S,1.025,1641.4,1641.4,173.4,8.61,0,0,158.26,188.535,WB2sb
9,KAC,WB,NO. 2 T. S. & BTM. W. B. TK. P,1.025,1641.4,1641.4,173.4,8.61,0,0,158.26,188.535,WB2ps
12,KAC,WB,NO. 3 S. & BTM. W. B. TK. S,1.025,3048.55,3048.55,134.07,8.56,0,0,107.225,160.855,WB3sb
13,KAC,WB,NO. 3 S. & BTM. W. B. TK. P,1.025,3048.55,3048.55,134.07,8.56,0,0,107.225,160.855,WB3ps
16,KAC,WB,NO. 4 T. S. & BTM. W. B. TK. S,1.025,2674.28,2674.28,84.46,6.63,0,0,53.595,109.82,WB4sb
17,KAC,WB,NO. 4 T. S. & BTM. W. B. TK. P,1.025,2674.28,2674.28,84.46,6.63,0,0,53.595,109.82,WB4ps
20,KAC,WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,1.025,1011.04,1011.04,39.68,5.14,0,0,25.05,55.325,WB5sb
21,KAC,WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,1.025,1011.04,1011.04,39.68,5.14,0,0,25.05,55.325,WB5ps
22,KAC,WB,AFT PEAK TANK,1.025,1019.89,1019.89,2.53,13.5,0.03,83.33,-3,8.25,WBap
23,KAC,WB,NO. 4 CARGO HOLD (W. B.),1.025,12747.2,12747.2,119.75,10.97,0,4463.47,107.225,132.31,BH4WB
24,KAC,FW,DRINK WATER TK. P,1,234.36,234.36,4.75,17.63,8.21,0.1,1.5,7.5,FWdwtp
25,KAC,FW,FRESH WATER TANK S,1,234.36,234.36,4.75,17.63,-8.21,0.1,1.5,7.5,FWfwts
26,KAC,FO,NO. 1 FUEL OIL TK. P,0.935,516.74,516.74,66.98,18.75,0,0,53.595,80.41,FO1fotp
27,KAC,FO,NO. 1 FUEL OIL TK. S,0.935,516.74,516.74,66.98,18.75,0,0,53.595,80.41,FO1fots
28,KAC,FO,NO. 2 FUEL OIL TK. P,0.935,550.02,550.02,39.3,18.75,0,0,25.05,53.595,FO2fotp
29,KAC,FO,NO. 2 FUEL OIL TK. S,0.935,550.02,550.02,39.3,18.75,0,0,25.05,53.595,FO2fots
30,KAC,FO,NO. 3 FUEL OIL TK. P,0.935,456.33,456.33,20.25,15.46,11.97,0,15.45,25.05,FO3fotp
31,KAC,FO,NO. 3 FUEL OIL TK. S,0.935,270.57,270.57,20.31,17.5,-12.14,0,15.45,25.05,FO3fots
32,KAC,FO,H. F.O. SETT. TK.,0.935,30.6,30.6,20.7,11.93,0,0,19.45,21.85,FOset
33,KAC,FO,NO. 1 H. F.O. SERV. TK.,0.935,26.7,26.7,18.5,12.05,0,0,17.45,19.45,FO1ser
34,KAC,FO,NO. 2 H. F.O. SERV. TK.,0.935,26.1,26.1,16.5,12.06,0,0,15.45,17.45,FO2ser
35,KAC,DO,DIESEL OIL TK. P,0.9,155.23,155.23,13.53,15.85,11.68,0,11.45,15.45,DOtkP
36,KAC,DO,DIESEL OIL TK. S,0.9,61.58,61.58,14.27,17.52,-11.9,0,13.05,15.45,DOtkS
37,KAC,DO,D.O. SERV. TK. S,0.9,23.5,23.5,12.3,17.2,0,0,11.45,21.05,DOser
38,KAC,LO,M/E L.O SUMP TK.,0.9,21.06,21.06,16.96,1.04,0,1.17,13.05,21.85,LOsump
39,KAC,MISC,F.O. CLEAN DRAIN COMP.,1,2.95,2.95,21.9,1.48,-4.69,0.9,21.05,22.65,MISCclean
40,KAC,MISC,F.O. OVERFLOW TK. S,1,24.53,24.53,19.35,1.26,-3.19,10.5,15.45,22.65,MISCfoover
41,KAC,MISC,BILGE TK. P,1,27.53,27.53,19.63,1.28,3.35,17.1,15.45,22.65,MISCbilge
42,KAC,MISC,WASTE OIL TK. C,1,23.62,23.62,10.76,1.1,0,23.3,8.25,12.25,MISCwast
43,KAC,MISC,GRAY WATER TK. P,1,301.66,301.66,19.05,12.67,13.67,0,11.45,26.78,MISCgwp
44,KAC,MISC,COOL W. TK.,1,17.05,17.05,7.49,3.78,0.02,1.8,-3,8.25,MISCcool
45,KAC,WC,DEAD WEIGHT CONSTANT,1,245,245,26.49,13.83,0,0,7.5,49.27,WCdwc
46,KAC,WC,PROV. & CONSUM.,1,10,10,16.25,22,0,0,0,40.62,Wcprov
