Frame station,draught,Displacement,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
249,1,5354,-0.688,0.212,-0.097,-4.783,1.177,-0.53
249,2,11540,-0.476,0.208,-0.095,-3.606,1.137,-0.516
249,3,17726,-0.267,0.205,-0.094,-2.469,1.097,-0.502
249,4,24012,-0.063,0.201,-0.093,-1.372,1.057,-0.488
249,5,30369,0.139,0.197,-0.092,-0.315,1.017,-0.474
249,6,36787,0.336,0.194,-0.091,0.702,0.977,-0.46
249,7,43268,0.53,0.19,-0.089,1.679,0.937,-0.446
249,8,49830,0.72,0.187,-0.088,2.616,0.897,-0.432
249,9,56521,0.907,0.183,-0.087,3.513,0.857,-0.418
249,10,63346,1.09,0.179,-0.086,4.37,0.817,-0.404
249,11,70264,1.269,0.176,-0.085,5.187,0.777,-0.39
249,12,77250,1.445,0.172,-0.083,5.964,0.737,-0.376
249,13,84278,1.618,0.169,-0.082,6.701,0.697,-0.362
249,14,91323,1.786,0.165,-0.081,7.398,0.657,-0.348
249,15,98381,1.952,0.161,-0.08,8.055,0.617,-0.334
218,1,5354,-1.384,1.014,-0.412,-33.811,17.063,-7.331
218,2,11540,-0.371,1.011,-0.411,-16.748,16.937,-7.293
218,3,17726,0.64,1.008,-0.411,0.189,16.811,-7.255
218,4,24012,1.648,1.005,-0.41,17,16.685,-7.217
218,5,30369,2.654,1.003,-0.409,33.685,16.559,-7.179
218,6,36787,3.656,1,-0.409,50.244,16.433,-7.141
218,7,43268,4.656,0.997,-0.408,66.677,16.307,-7.103
218,8,49830,5.653,0.994,-0.407,82.984,16.181,-7.065
218,9,56521,6.647,0.991,-0.406,99.165,16.055,-7.027
218,10,63346,7.638,0.989,-0.406,115.22,15.929,-6.989
218,11,70264,8.627,0.986,-0.405,131.149,15.803,-6.951
218,12,77250,9.612,0.983,-0.404,146.952,15.677,-6.913
218,13,84278,10.595,0.98,-0.404,162.629,15.551,-6.875
218,14,91323,11.575,0.977,-0.403,178.18,15.425,-6.837
218,15,98381,12.553,0.975,-0.402,193.605,15.299,-6.799
186,1,5354,-1.853,1.926,-0.663,-78.064,57.742,-22.477
186,2,11540,0.072,1.924,-0.663,-20.322,57.548,-22.421
186,3,17726,1.996,1.922,-0.662,37.226,57.354,-22.365
186,4,24012,3.918,1.92,-0.662,94.58,57.16,-22.309
186,5,30369,5.837,1.918,-0.661,151.74,56.966,-22.253
186,6,36787,7.755,1.916,-0.66,208.706,56.772,-22.197
186,7,43268,9.671,1.914,-0.66,265.478,56.578,-22.141
186,8,49830,11.585,1.912,-0.659,322.056,56.384,-22.085
186,9,56521,13.496,1.91,-0.659,378.44,56.19,-22.029
186,10,63346,15.406,1.908,-0.658,434.63,55.996,-21.973
186,11,70264,17.314,1.906,-0.657,490.626,55.802,-21.917
186,12,77250,19.219,1.904,-0.657,546.428,55.608,-21.861
186,13,84278,21.123,1.902,-0.656,602.036,55.414,-21.805
186,14,91323,23.025,1.9,-0.655,657.45,55.22,-21.749
186,15,98381,24.925,1.898,-0.655,712.67,55.026,-21.693
156,1,5354,-2.294,2.781,-0.796,-131.955,118.805,-41.625
156,2,11540,0.487,2.779,-0.795,-13.15,118.565,-41.555
156,3,17726,3.266,2.778,-0.795,105.415,118.325,-41.485
156,4,24012,6.044,2.776,-0.794,223.74,118.085,-41.415
156,5,30369,8.82,2.775,-0.794,341.825,117.845,-41.345
156,6,36787,11.596,2.774,-0.793,459.67,117.605,-41.275
156,7,43268,14.369,2.772,-0.793,577.275,117.365,-41.205
156,8,49830,17.142,2.771,-0.792,694.64,117.125,-41.135
156,9,56521,19.913,2.769,-0.792,811.765,116.885,-41.065
156,10,63346,22.682,2.768,-0.791,928.65,116.645,-40.995
156,11,70264,25.45,2.767,-0.791,1045.295,116.405,-40.925
156,12,77250,28.217,2.765,-0.79,1161.7,116.165,-40.855
156,13,84278,30.982,2.764,-0.79,1277.865,115.925,-40.785
