Draft at mid-Hold(m),Max. sea (MT),Max. harbour (MT),Min. sea (MT),Min. harbour (MT),Hold
0,10288,13422,0,0,1
6.069,17760,20894,0,0,1
8.615,20894,20894,0,0,1
10.672,20894,20894,0,0,1
14,20894,20894,4097,0,1
0,11753,15340,0,0,2
6.074,20326,23912,0,0,2
8.615,23912,23912,0,0,2
10.672,23912,23912,0,0,2
14,23912,23912,4697,0,2
0,10538,13755,0,0,3
6.074,18228,21445,0,0,3
8.615,21445,21445,0,0,3
10.67,21445,21445,0,0,3
14,21445,21445,4213,0,3
0,11763,15353,0,0,4
6.074,20343,23933,0,0,4
8.615,23933,23933,0,0,4
10.67,23933,23933,0,0,4
14,23933,23933,4701,0,4
0,10276,13399,0,0,5
6.063,17694,20816,0,0,5
8.615,20816,20816,0,0,5
10.672,20816,20816,0,0,5
14,20816,20816,4071,0,5
