Vessel,Expreesion type(Cargo/Ballast),Tank_name(Optional),TankDegree,TankConst
PMM,Cargo,FORE PEAK TANK C,7,"218.94127367881993,0.011193641908790958,-2.66679662400053e-05,3.346541270378312e-08,-2.29684572550742e-11,8.681527011260376e-15,-1.6956483043856387e-18,1.3363240798510616e-22"
PMM,Cargo,NO.1 WATER BALLAST TANK (P),7,"195.7221386760232,-0.007318739879595985,5.2863610829886656e-05,-1.2118499639436533e-07,1.2918871923481637e-10,-6.962522412735218e-14,1.8413408083503022e-17,-1.9008471351196733e-21"
PMM,Cargo,NO.1 WATER BALLAST TANK (S),7,"195.72214281948195,-0.007318863646093497,5.286427704790786e-05,-1.211863369425528e-07,1.2918998310230822e-10,-6.962583136972284e-14,1.8413552492117013e-17,-1.900860632730026e-21"
PMM,Cargo,NO.2 WATER BALLAST TANK (P),7,"161.51146809607795,0.0001972083025059675,-5.824132640789388e-07,9.127018189705504e-10,-6.883571427285981e-13,2.6354180645914967e-16,-4.971332088483537e-20,3.67699464942032e-24"
PMM,Cargo,NO.2 WATER BALLAST TANK (S),7,"161.51146809607795,0.0001972083025059675,-5.824132640789388e-07,9.127018189705504e-10,-6.883571427285981e-13,2.6354180645914967e-16,-4.971332088483537e-20,3.67699464942032e-24"
PMM,Cargo,NO.3 WATER BALLAST TANK (P),7,"124.57509660440952,0.00016571659246692496,-8.744133457088144e-07,1.61387003035249e-09,-1.3173296661821826e-12,5.395311848601566e-16,-1.0932934396477055e-19,8.74862031104941e-24"
PMM,Cargo,NO.3 WATER BALLAST TANK (S),7,"124.57509660440952,0.00016571659246692496,-8.744133457088144e-07,1.61387003035249e-09,-1.3173296661821826e-12,5.395311848601566e-16,-1.0932934396477055e-19,8.74862031104941e-24"
PIM,Cargo,NO.4 WATER BALLAST TANK (P),6,"87.86684706406992,-3.483979529914615e-05,-4.6579062738641594e-07,6.991795262199799e-10,-4.150834936164033e-13,1.1022820473851726e-16,-1.0908406757139096e-20"
PMM,Cargo,NO.4 WATER BALLAST TANK (S),6,"87.86684706406992,-3.483979529914615e-05,-4.6579062738641594e-07,6.991795262199799e-10,-4.150834936164033e-13,1.1022820473851726e-16,-1.0908406757139096e-20"
PMM,Cargo,NO.5 WATER BALLAST TANK (P),6,"53.623448452327146,-0.0014244650906477497,-1.283007742353814e-06,7.641510437837447e-09,-9.283683555335248e-12,4.4158276021466525e-15,-7.529225585047923e-19"
PMM,Cargo,NO.5 WATER BALLAST TANK (S),6,"53.45815685082358,-0.002082785361757546,-8.357406068329442e-07,6.997024468464171e-09,-8.329119310809988e-12,3.784460399035411e-15,-6.103308200587237e-19"
PMM,Cargo,NO.5 T. S. T. /COLL. TANK (P),7,"43.43949957229894,0.6156462672160427,-0.012387506857332148,0.00011061832627093988,-5.136588279386055e-07,1.2875882120118767e-09,-1.6512961182469458e-12,8.49353939766658e-16"
PMM,Cargo,NO.5 T. S. T. /COLL. TANK (S),7,"43.43949957229894,0.6156462672160427,-0.012387506857332148,0.00011061832627093988,-5.136588279386055e-07,1.2875882120118767e-09,-1.6512961182469458e-12,8.49353939766658e-16"
PMM,Cargo,AFT PEAK TANK C,7,"9.066576340199466,-0.025634579174937347,0.00010376605065801235,-2.4997230082763884e-07,3.3576824795478826e-10,-2.490670499806126e-13,9.539080969314377e-17,-1.4712802642167767e-20"
PMM,Cargo,NO.3 HOLD (W.B),7,"124.57654636411053,1.1407137982307567e-05,-8.38126455888349e-09,2.4552236061815447e-12,-3.492840136292534e-16,2.5679513241583912e-20,-9.37821078456529e-25,1.3450004842837718e-29"
