Trim,DRAFT,DISPL,TPC,LCB,LCF,MTC,TKM,VCB,LKM,DISP_NAKED
-2,1.53,10895.55,76.94,141.78,127.18,819.18,91.43,0.84,1870.36,10755.98
-2,1.54,10972.49,76.97,141.67,127.16,820.59,90.93,0.84,1860.35,10832.78
-2,1.55,11049.47,77,141.57,127.14,821.99,90.44,0.85,1850.42,10909.6
-2,1.56,11126.47,77.04,141.47,127.13,823.38,89.94,0.85,1840.56,10986.46
-2,1.57,11203.51,77.07,141.37,127.11,824.77,89.45,0.86,1830.78,11063.35
-2,1.58,11280.57,77.1,141.27,127.09,826.14,88.97,0.86,1821.07,11140.27
-2,1.59,11357.67,77.13,141.18,127.07,827.51,88.49,0.87,1811.43,11217.22
-2,1.6,11434.8,77.16,141.08,127.05,828.87,88.01,0.87,1801.86,11294.21
-2,1.61,11511.95,77.19,140.98,127.03,830.23,87.53,0.88,1792.37,11371.22
-2,1.62,11589.14,77.22,140.89,127.01,831.57,87.06,0.88,1782.95,11448.26
-2,1.63,11666.36,77.25,140.8,126.99,832.91,86.59,0.89,1773.6,11525.33
-2,1.64,11743.6,77.27,140.71,126.98,834.24,86.13,0.89,1764.32,11602.43
-2,1.65,11820.88,77.3,140.61,126.96,835.56,85.67,0.89,1755.11,11679.56
-2,1.66,11898.18,77.33,140.52,126.94,836.87,85.21,0.9,1745.98,11756.71
-2,1.67,11975.51,77.36,140.44,126.92,838.18,84.76,0.9,1736.91,11833.9
-2,1.68,12052.87,77.39,140.35,126.9,839.47,84.31,0.91,1727.92,11911.12
-2,1.69,12130.26,77.42,140.26,126.89,840.77,83.86,0.91,1719,11988.36
-2,1.7,12207.68,77.44,140.18,126.87,842.05,83.42,0.92,1710.15,12065.63
-2,1.71,12285.12,77.47,140.09,126.85,843.32,82.98,0.92,1701.36,12142.93
-2,1.72,12362.6,77.5,140.01,126.83,844.59,82.54,0.93,1692.65,12220.26
-2,1.73,12440.1,77.53,139.92,126.81,845.85,82.11,0.93,1684.01,12297.61
-2,1.74,12517.62,77.55,139.84,126.8,847.1,81.68,0.94,1675.43,12374.99
-2,1.75,12595.18,77.58,139.76,126.78,848.34,81.25,0.94,1666.93,12452.4
-2,1.76,12672.76,77.61,139.68,126.76,849.58,80.83,0.95,1658.49,12529.84
-2,1.77,12750.37,77.63,139.6,126.74,850.81,80.41,0.95,1650.13,12607.3
-2,1.78,12828,77.66,139.52,126.73,852.03,80,0.96,1641.83,12684.79
-2,1.79,12905.66,77.69,139.44,126.71,853.25,79.58,0.96,1633.6,12762.3
-2,1.8,12983.35,77.71,139.37,126.69,854.45,79.17,0.97,1625.44,12839.84
-2,1.81,13061.06,77.74,139.29,126.68,855.65,78.77,0.97,1617.35,12917.41
-2,1.82,13138.8,77.76,139.21,126.66,856.84,78.37,0.98,1609.32,12995
-2,1.83,13216.56,77.79,139.14,126.64,858.03,77.97,0.98,1601.37,13072.62
-2,1.84,13294.35,77.81,139.07,126.63,859.2,77.57,0.99,1593.48,13150.26
-2,1.85,13372.16,77.84,138.99,126.61,860.37,77.18,0.99,1585.65,13227.92
-2,1.86,13450,77.86,138.92,126.59,861.53,76.79,1,1577.9,13305.61
-2,1.87,13527.86,77.89,138.85,126.58,862.69,76.4,1,1570.21,13383.33
-2,1.88,13605.74,77.91,138.78,126.56,863.84,76.02,1.01,1562.59,13461.07
-2,1.89,13683.65,77.93,138.71,126.54,864.98,75.64,1.01,1555.03,13538.83
-2,1.9,13761.58,77.96,138.64,126.53,866.11,75.27,1.02,1547.54,13616.62
-2,1.91,13839.54,77.98,138.57,126.51,867.23,74.89,1.02,1540.11,13694.43
-2,1.92,13917.52,78,138.5,126.5,868.35,74.53,1.03,1532.76,13772.27
-2,1.93,13995.52,78.03,138.43,126.48,869.46,74.16,1.03,1525.46,13850.12
-2,1.94,14073.55,78.05,138.37,126.47,870.57,73.8,1.04,1518.23,13928
-2,1.95,14151.6,78.07,138.3,126.45,871.66,73.44,1.04,1511.07,14005.91
-2,1.96,14229.67,78.09,138.23,126.43,872.75,73.08,1.05,1503.97,14083.83
-2,1.97,14307.76,78.11,138.17,126.42,873.83,72.73,1.05,1496.94,14161.78
-2,1.98,14385.88,78.14,138.1,126.4,874.91,72.38,1.06,1489.97,14239.75
-2,1.99,14464.01,78.16,138.04,126.39,875.98,72.03,1.06,1483.07,14317.74
-2,2,14542.17,78.18,137.98,126.37,877.04,71.69,1.07,1476.22,14395.75
-2,2.01,14620.35,78.2,137.91,126.36,878.09,71.35,1.07,1469.45,14473.79
-2,2.02,14698.55,78.22,137.85,126.34,879.14,71.01,1.07,1462.73,14551.84
-2,2.03,14776.77,78.23,137.79,126.33,880.18,70.68,1.08,1456.08,14629.92
-2,2.04,14855.01,78.25,137.73,126.31,881.21,70.35,1.08,1449.5,14708.01
-2,2.05,14933.26,78.27,137.67,126.3,882.24,70.02,1.09,1442.97,14786.13
-2,2.06,15011.54,78.3,137.61,126.28,883.26,69.69,1.09,1436.51,14864.27
-2,2.07,15089.83,78.32,137.55,126.27,884.27,69.37,1.1,1430.1,14942.43
-2,2.08,15168.15,78.33,137.49,126.25,885.27,69.05,1.1,1423.76,15020.61
-2,2.09,15246.48,78.36,137.43,126.24,886.27,68.74,1.11,1417.48,15098.81
-2,2.1,15324.84,78.38,137.37,126.22,887.27,68.42,1.11,1411.26,15177.03
-2,2.11,15403.21,78.4,137.32,126.21,888.25,68.12,1.12,1405.09,15255.27
-2,2.12,15481.61,78.42,137.26,126.2,889.23,67.81,1.12,1398.99,15333.52
-2,2.13,15560.02,78.44,137.2,126.18,890.21,67.5,1.13,1392.94,15411.8
-2,2.14,15638.46,78.46,137.15,126.17,891.17,67.2,1.13,1386.94,15490.1
-2,2.15,15716.92,78.48,137.09,126.15,892.13,66.91,1.14,1381.01,15568.42
-2,2.16,15795.39,78.49,137.04,126.14,893.09,66.61,1.14,1375.13,15646.76
-2,2.17,15873.89,78.51,136.98,126.13,894.04,66.32,1.15,1369.3,15725.12
-2,2.18,15952.4,78.53,136.93,126.11,894.98,66.03,1.15,1363.53,15803.5
-2,2.19,16030.93,78.55,136.88,126.1,895.91,65.74,1.16,1357.81,15881.9
-2,2.2,16109.49,78.57,136.82,126.08,896.85,65.45,1.16,1352.14,15960.31
-2,2.21,16188.06,78.59,136.77,126.07,897.77,65.17,1.17,1346.53,16038.75
-2,2.22,16266.65,78.61,136.72,126.06,898.69,64.89,1.17,1340.96,16117.2
-2,2.23,16345.26,78.63,136.67,126.04,899.6,64.62,1.18,1335.45,16195.67
-2,2.24,16423.89,78.65,136.62,126.03,900.51,64.34,1.18,1329.99,16274.17
-2,2.25,16502.54,78.67,136.56,126.02,901.41,64.07,1.19,1324.58,16352.68
-2,2.26,16581.2,78.68,136.51,126,902.31,63.8,1.19,1319.21,16431.21
-2,2.27,16659.88,78.7,136.46,125.99,903.2,63.53,1.2,1313.9,16509.76
-2,2.28,16738.59,78.72,136.41,125.98,904.08,63.27,1.2,1308.63,16588.32
-2,2.29,16817.31,78.74,136.36,125.96,904.96,63.01,1.21,1303.41,16666.91
-2,2.3,16896.05,78.76,136.32,125.95,905.84,62.75,1.21,1298.23,16745.51
-2,2.31,16974.81,78.78,136.27,125.94,906.71,62.49,1.22,1293.11,16824.13
-2,2.32,17053.59,78.79,136.22,125.93,907.57,62.24,1.22,1288.02,16902.77
-2,2.33,17132.38,78.81,136.17,125.91,908.43,61.98,1.23,1282.98,16981.43
-2,2.34,17211.19,78.83,136.12,125.9,909.29,61.73,1.23,1277.99,17060.11
-2,2.35,17290.02,78.85,136.08,125.89,910.14,61.49,1.24,1273.04,17138.8
-2,2.36,17368.87,78.87,136.03,125.87,910.98,61.24,1.24,1268.13,17217.51
-2,2.37,17447.74,78.88,135.98,125.86,911.82,61,1.25,1263.26,17296.24
-2,2.38,17526.62,78.9,135.94,125.85,912.66,60.75,1.25,1258.43,17374.99
-2,2.39,17605.52,78.92,135.89,125.84,913.49,60.52,1.26,1253.64,17453.76
-2,2.4,17684.44,78.94,135.85,125.82,914.31,60.28,1.26,1248.9,17532.54
