ID,VSLCODE,TANKCATEGORY,TANKNAME,SG,SOUNDING,VOLUMEINPERCENTAGE,VOLUMEINCUBE,LCGLPP,VCGBL,TCG,FSM
1,PMM,CARGO,HOLD1,0.815,0,0,0,196.3,2.07,0,46910.7
2,PMM,CARGO,HOLD1,0.815,0.1,0.004,90.95,196.3,2.12,0,47911.6
3,PMM,CARGO,HOLD1,0.815,0.2,0.009,182.6,196.3,2.17,0,48930.4
4,PMM,CARGO,HOLD1,0.815,0.3,0.014,274.97,196.31,2.22,0,49966.5
5,PMM,CARGO,HOLD1,0.815,0.4,0.018,368.05,196.32,2.27,0,51019.1
6,PMM,CARGO,HOLD1,0.815,0.5,0.023,461.83,196.33,2.32,0,52086.9
7,PMM,CARGO,HOLD1,0.815,0.6,0.027,556.33,196.34,2.37,0,53169.8
8,PMM,CARGO,HOLD1,0.815,0.7,0.032,651.54,196.35,2.42,0,54268.2
9,PMM,CARGO,HOLD1,0.815,0.8,0.037,747.47,196.36,2.47,0,55382.3
10,PMM,CARGO,HOLD1,0.815,0.9,0.042,844.1,196.36,2.52,0,56512.3
11,PMM,CARGO,HOLD1,0.815,1,0.046,941.44,196.37,2.57,0,57658
12,PMM,CARGO,HOLD1,0.815,1.1,0.051,1039.49,196.38,2.62,0,58819.8
13,PMM,CARGO,HOLD1,0.815,1.2,0.056,1138.26,196.39,2.68,0,59997.6
14,PMM,CARGO,HOLD1,0.815,1.3,0.061,1237.73,196.4,2.73,0,61191.7
15,PMM,CARGO,HOLD1,0.815,1.4,0.066,1337.92,196.41,2.78,0,62402.1
16,PMM,CARGO,HOLD1,0.815,1.5,0.071,1438.82,196.42,2.83,0,63628.9
17,PMM,CARGO,HOLD1,0.815,1.6,0.076,1540.43,196.42,2.88,0,64872.4
18,PMM,CARGO,HOLD1,0.815,1.7,0.081,1642.75,196.43,2.93,0,66132.5
19,PMM,CARGO,HOLD1,0.815,1.8,0.086,1745.78,196.44,2.99,0,67409.5
20,PMM,CARGO,HOLD1,0.815,1.9,0.091,1849.52,196.45,3.04,0,68703.3
21,PMM,CARGO,HOLD1,0.815,2,0.096,1953.97,196.46,3.09,0,70014.2
22,PMM,CARGO,HOLD1,0.815,2.1,0.102,2059.13,196.47,3.14,0,71342.2
23,PMM,CARGO,HOLD1,0.815,2.2,0.107,2165,196.47,3.2,0,72687.5
24,PMM,CARGO,HOLD1,0.815,2.3,0.112,2271.59,196.48,3.25,0,74050.2
25,PMM,CARGO,HOLD1,0.815,2.4,0.117,2378.88,196.49,3.3,0,75430.4
26,PMM,CARGO,HOLD1,0.815,2.5,0.123,2486.89,196.5,3.35,0,76828.2
27,PMM,CARGO,HOLD1,0.815,2.6,0.128,2595.6,196.51,3.41,0,78243.8
28,PMM,CARGO,HOLD1,0.815,2.7,0.133,2705.03,196.51,3.46,0,79677.3
29,PMM,CARGO,HOLD1,0.815,2.8,0.139,2815.17,196.52,3.51,0,81128
30,PMM,CARGO,HOLD1,0.815,2.9,0.144,2926.02,196.53,3.57,0,82597.4
31,PMM,CARGO,HOLD1,0.815,3,0.15,3037.58,196.54,3.62,0,84087.3
32,PMM,CARGO,HOLD1,0.815,3.1,0.155,3149.85,196.54,3.67,0,85593.4
33,PMM,CARGO,HOLD1,0.815,3.2,0.161,3262.83,196.55,3.73,0,87109.2
34,PMM,CARGO,HOLD1,0.815,3.3,0.167,3376.53,196.56,3.78,0,88651.5
35,PMM,CARGO,HOLD1,0.815,3.4,0.172,3490.93,196.57,3.83,0,90245.3
36,PMM,CARGO,HOLD1,0.815,3.5,0.178,3606.04,196.57,3.89,0,91828.1
37,PMM,CARGO,HOLD1,0.815,3.547,0.181,3660.39,196.58,3.91,0,92534
38,PMM,CARGO,HOLD1,0.815,3.6,0.184,3721.65,196.58,3.94,0,95209.1
39,PMM,CARGO,HOLD1,0.815,3.7,0.189,3840.34,196.58,4,0,96856.1
40,PMM,CARGO,HOLD1,0.815,3.8,0.195,3959.71,196.58,4.05,0,98524.9
41,PMM,CARGO,HOLD1,0.815,3.9,0.201,4079.35,196.58,4.1,0,100209.5
42,PMM,CARGO,HOLD1,0.815,4,0.207,4199.66,196.58,4.16,0,101914.9
43,PMM,CARGO,HOLD1,0.815,4.1,0.213,4320.7,196.58,4.21,0,103640.3
44,PMM,CARGO,HOLD1,0.815,4.2,0.219,4442.45,196.59,4.27,0,105384.9
45,PMM,CARGO,HOLD1,0.815,4.3,0.225,4564.93,196.59,4.32,0,107147.7
46,PMM,CARGO,HOLD1,0.815,4.4,0.231,4688.12,196.59,4.38,0,108932.4
47,PMM,CARGO,HOLD1,0.815,4.5,0.237,4812.03,196.59,4.43,0,110743.7
48,PMM,CARGO,HOLD1,0.815,4.6,0.244,4936.67,196.59,4.49,0,112569.6
49,PMM,CARGO,HOLD1,0.815,4.7,0.25,5062.02,196.6,4.54,0,114387.3
50,PMM,CARGO,HOLD1,0.815,4.8,0.256,5188.08,196.6,4.6,0,116187.6
51,PMM,CARGO,HOLD1,0.815,4.9,0.262,5314.84,196.6,4.65,0,117966
52,PMM,CARGO,HOLD1,0.815,5,0.268,5442.28,196.61,4.71,0,119669.6
53,PMM,CARGO,HOLD1,0.815,5.1,0.275,5570.35,196.61,4.77,0,121219.7
54,PMM,CARGO,HOLD1,0.815,5.2,0.281,5699.01,196.61,4.82,0,122605.7
55,PMM,CARGO,HOLD1,0.815,5.3,0.288,5828.22,196.62,4.88,0,123861.7
56,PMM,CARGO,HOLD1,0.815,5.4,0.294,5957.95,196.62,4.93,0,125012
57,PMM,CARGO,HOLD1,0.815,5.5,0.3,6088.11,196.63,4.99,0,125896.2
58,PMM,CARGO,HOLD1,0.815,5.6,0.307,6218.67,196.63,5.04,0,126712.5
59,PMM,CARGO,HOLD1,0.815,5.7,0.313,6349.61,196.64,5.1,0,127510.9
60,PMM,CARGO,HOLD1,0.815,5.8,0.32,6480.95,196.64,5.15,0,128318.7
61,PMM,CARGO,HOLD1,0.815,5.9,0.326,6612.66,196.65,5.21,0,129142
62,PMM,CARGO,HOLD1,0.815,6,0.333,6744.74,196.66,5.26,0,129972.9
63,PMM,CARGO,HOLD1,0.815,6.1,0.339,6877.18,196.66,5.32,0,130804.8
64,PMM,CARGO,HOLD1,0.815,6.2,0.346,7009.99,196.67,5.37,0,131634.5
65,PMM,CARGO,HOLD1,0.815,6.3,0.352,7143.17,196.68,5.43,0,132486.6
66,PMM,CARGO,HOLD1,0.815,6.4,0.359,7276.72,196.68,5.48,0,133392.9
67,PMM,CARGO,HOLD1,0.815,6.5,0.366,7410.62,196.69,5.54,0,134249.8
68,PMM,CARGO,HOLD1,0.815,6.6,0.372,7544.85,196.7,5.59,0,134877.5
69,PMM,CARGO,HOLD1,0.815,6.7,0.379,7679.31,196.71,5.65,0,135249.9
70,PMM,CARGO,HOLD1,0.815,6.8,0.385,7813.87,196.72,5.7,0,135441.8
71,PMM,CARGO,HOLD1,0.815,6.9,0.392,7948.46,196.72,5.76,0,135518.5
