ID,Vessel Code,Tank Category,Tank Name,Density,Capacity,Weight,LCGLPP,VCGBL,TCG,FSM,Aft Dist from AP (m),Fwd Dist from AP (m),WeightItemName
1,PMM,WB,FORE PEAK TANK C,1.026,3341,3424.53,221.44,10.38,0,7549.125,216.545,231.01,WBap
2,PMM,WB,NO.1 WATER BALLAST TANK (P),1.025,2608.9,2674.12,196.74,6.9,0,19705.625,180.86,216.545,WB1pDBB
3,PMM,WB,NO.1 WATER BALLAST TANK (S),1.025,2608.9,2674.12,196.74,6.9,0,19705.625,180.86,216.545,WB1sDBB
4,PMM,WB,NO.2 WATER BALLAST TANK (P),1.025,3576.8,3666.22,161.6,7.44,0,32327.475,142.43,180.86,WB2pDBB
5,PMM,WB,NO.2 WATER BALLAST TANK (S),1.025,3576.8,3666.22,161.6,7.44,0,32327.475,142.43,180.86,WB2sDBB
6,PMM,WB,NO.3 WATER BALLAST TANK (P),1.025,3330.3,3415,124.61,7.43,0,30160.625,106.745,142.43,WB3pDBB
7,PMM,WB,NO.3 WATER BALLAST TANK (S),1.025,3330.3,3415,124.61,7.43,0,30160.625,106.745,142.43,WB3sDBB
8,PMM,WB,NO.4 WATER BALLAST TANK (P),1.025,2734.3,2802.66,87.67,4.57,0,32100.95,68.315,106.745,WB4pDBB
9,PMM,WB,NO.4 WATER BALLAST TANK (S),1.025,2734.3,2802.66,87.67,4.57,0,32100.95,68.315,106.745,WB4sDBB
10,PMM,WB,NO.5 WATER BALLAST TANK (P),1.025,2119.7,2172.69,50.85,3.27,0,16788.475,30.8,68.315,WB5pDBB
11,PMM,WB,NO.5 WATER BALLAST TANK (S),1.025,2277.3,2334.23,49.66,3.44,0,17018.075,29.88,68.315,WB5sDBB
12,PMM,WB,NO.5 T. S. T. /COLL. TANK (P),1.025,519,531.98,49.85,15.84,0,60.475,29.88,68.315,WB5tstP
13,PMM,WB,NO.5 T. S. T. /COLL. TANK (S),1.025,519,531.98,49.85,15.84,0,60.475,29.88,68.315,WB5tstS
14,PMM,WB,AFT PEAK TANK C,1.025,1732.1,1775.4025,3.97,14.9,0,20602.5,-3.98,9.72,WBfp
15,PMM,WB,NO.3 HOLD (W.B),1.025,21509,22046.725,124.63,10.43,0,18512.1,106.745,142.43,BH3WB
16,PMM,FW,DRINKING WATER TANK (P),1,118.9,118.9,16.63,141,0,220,13.08,17.28,FWdwtP
17,PMM,FW,NO. 1 FRESH WATER TANK (S),1,77.6,77.6,16.67,64,0,6,9.72,13.08,FWno1S
18,PMM,FW,NO. 2 FRESH WATER TANK (P),1,253.5,253.5,16.7,1014,0,6,6.48,13.08,FWno2P
19,PMM,FO,NO.1 F. O./M. G. O.T. (P),0.97,237.6,230.47,101.25,17,0,422.92,95.765,106.745,FOno1P
20,PMM,FO,NO.2 FUEL OIL TANK (P),0.97,594,576.18,82.03,17,0,1056.33,68.315,95.765,FOno2P
21,PMM,FO,NO.2 F. O./M. G. O.T. (S),0.97,594,576.18,82.03,17,0,1056.33,68.315,95.765,FOno2S
22,PMM,FO,NO.3 FUEL OIL TANK (P),0.97,829.7,804.81,49.14,17.01,0,1479.25,29.88,68.315,FOno3P
23,PMM,FO,NO.3 FUEL OIL TANK (S),0.97,829.7,804.81,49.14,17.01,0,1479.25,29.88,68.315,FOno3S
24,PMM,FO,H. F. O. SERV. TANK (S),0.97,23.3,22.6,25.78,16.09,0,26.19,25.44,26.99,FOHF1
25,PMM,FO,H. F. O. SETT. TANK (S),0.97,22.1,21.44,23.38,16.04,0,26.19,22.2,25.44,FOHF2
26,PMM,FO,L. S. F. O. SERV. TANK (S),0.97,24,23.28,25.43,16.06,0,12.61,23.685,27.173,FOHF3
27,PMM,FO,L. S. F. O. SETT. TANK (S),0.97,9.8,9.51,22.93,16.01,0,5.82,22.2,23.685,FOHF4
28,PMM,DO,DIESEL OIL TANK (S),0.86,237.6,204.34,101.25,17,0,374.96,95.765,106.745,DOtkS
29,PMM,DO,D. O. SERV. TANK (S),0.86,10.9,9.37,19.45,16.03,0,0.86,18.12,20.745,DOTnk2
30,PMM,LO,LUB. OIL SUMP TANK (C),0.92,21.4,19.69,19.94,1.27,0,8.28,16.44,24.84,LOTnk1
31,PMM,LO,LUB. OIL SETT. TANK (S),0.92,28.8,26.5,15.05,16.15,0,10.12,13.605,16.545,LOTnk2
32,PMM,LO,LUB. OIL STOR. TANK (S),0.92,28.5,26.22,19.45,16.15,0,11.96,18.12,20.78,LOTnk3
33,PMM,LO,NO.1 CYL. OIL STOR. TANK (S),0.92,34.1,31.37,15.3,16.18,0,8.28,13.32,17.28,LOTnk4
34,PMM,LO,NO.2 CYL. OIL STOR. TANK (S),0.92,22.8,20.98,15.3,16.18,0,2.76,13.32,17.28,LOTnk5
35,PMM,LO,G/E L. O. STOR. TANK (S),0.92,5.6,5.15,10.93,15.91,0,0.92,10.14,11.715,LOTnk6
36,PMM,LO,G/E L. O. SETT. TANK (S),0.92,3.5,3.22,10.93,15.91,0,0,10.14,11.715,LOTnk7
37,PMM,LO,G/E L. O. OVERFLOW TANK (S),0.92,2.5,2.3,13.92,9.06,0,0.92,13.08,14.76,LOTnk8
38,PMM,MISC,GRAY WATER TANK (P),1,145.6,145.6,33.88,6.09,0,44,30.8,35.375,MISTnk1
39,PMM,MISC,BILGE TANK C,1,37,37,13.07,1.52,0,21,9.72,15.6,MISTnk2
40,PMM,MISC,BILGE SEP. OIL TANK (P),1,42.5,42.5,24.17,1.65,0,41,18.96,27.36,MISTnk3
41,PMM,MISC,F. O. OVERFLOW TANK (P),1,33.9,33.9,29.24,1.25,0,82,27.36,30.8,MISTnk4
42,PMM,MISC,CLEAN DRAIN TANK (S),1,54.2,54.2,25.45,1.52,0,61,18.96,29.88,MISTnk5
43,PMM,MISC,M/E HYD. OIL TANK C,1,7.4,7.4,27.65,1.3,0,3,26.52,29.04,MISTnk6
44,PMM,MISC,BOILER F. O. SETT. TANK (S),1,4.5,4.5,28.68,15.78,0,1,28.2,29.18,MISTnk7
45,PMM,MISC,NO.1 WASTE OIL SETT. TANK (P),1,4.7,4.7,10.97,16.48,0,0,10.14,11.82,MISTnk8
46,PMM,MISC,NO.2 WASTE OIL SETT. TANK (P),1,4.7,4.7,10.97,16.48,0,0,10.14,11.82,MISTnk9
47,PMM,MISC,F. O. SLUDGE TANK (S),1,2.1,2.1,26.52,9.13,0,0,24.84,28.2,MISTnk10
48,PMM,MISC,L.O. SLUDGE TANK (S),1,2.1,2.1,23.16,9.13,0,0,21.48,24.84,MISTnk11
49,PMM,MISC,BILGE PRIMARY TANK (P),1,3,3,24.34,6.85,0,0,23.346,25.365,MISTnk12
50,PMM,MISC,FILTER DRAIN TANK (S),1,3.4,3.4,24.48,6.89,0,1,23.685,25.26,MISTnk13
51,PMM,MISC,F. O. DRAIN TANK (S),1,1.2,1.2,24.5,3.34,0,0,23.79,25.26,MISTnk14
52,PMM,MISC,L. O. DRAIN TANK (S),1,0.7,0.7,22.4,6.62,0,0,23.475,23.832,MISTnk15
53,PMM,MISC,M/E SCAV. BOX DRAIN TANK (P),1,0.5,0.5,106.7,5.08,0,0,16.44,17.04,MISTnk16
54,PMM,MISC,S/T L. O. TANK UNIT (S),1,0.2,0.2,11.85,7,0,0,11.61,12.1,MISTnk17
55,PMM,MISC,COOLING WATER TANK C,1,11.8,11.8,8.84,3.41,0,1,6.48,9.72,MISTnk18
56,PMM,WC,CREW AND THEIR EFFECTS,1,3,3,25.51,25,0,0,0,51.845,DWTnk1
57,PMM,WC,STORE,1,53,53,89.2,18.17,0,0,9.72,161.645,DWTnk2
58,PMM,WC,SPARE,1,5,5,31.59,14.52,0,0,29.04,38.12,DWTnk3
59,PMM,WC,PROVISIONS,1,8,8,17.72,20.38,0,0,9.72,24.84,DWTnk4
60,PMM,WC,OIL AND WATER IN ENGINE ROOM,1,183,183,22.76,8.19,0,0,18.96,29.04,DWTnk5
61,PMM,WC,LUB. OIL IN ENGINE ROOM,1,79,79,15.09,12.12,0,0,15.6,24.84,DWTnk6
62,PMM,WC,SYSTEM OIL,1,5,5,57.58,17.69,0,0,20.64,102.17,DWTnk7
63,PMM,WC,COOLING WATER TANK,1,12,12,8.84,3.41,0,0,9.72,16.44,DWTnk8
64,PMM,WC,DEADWEIGHT CONSTANT,1,348,348,83.8,11.09,0,0,0,29.04,DWTnk9
