Tank name ,Mapping Tank name
NO.1 WATER BALLAST TANK (P),NO.1 WATER BALLAST TANK (S)
NO.1 WATER BALLAST TANK (S),NO.1 WATER BALLAST TANK (P)
NO.2 WATER BALLAST TANK (P),NO.2 WATER BALLAST TANK (S)
NO.2 WATER BALLAST TANK (S),NO.2 WATER BALLAST TANK (P)
NO.3 WATER BALLAST TANK (P),NO.3 WATER BALLAST TANK (S)
NO.3 WATER BALLAST TANK (S),NO.3 WATER BALLAST TANK (P)
NO.4 WATER BALLAST TANK (P),NO.4 WATER BALLAST TANK (S)
NO.4 WATER BALLAST TANK (S),NO.4 WATER BALLAST TANK (P)
NO.5 T. S. T. /COLL. TANK (P),NO.5 T. S. T. /COLL. TANK (S)
NO.5 T. S. T. /COLL. TANK (S),NO.5 T. S. T. /COLL. TANK (P)
