Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
240,2,-0.503,0.14,-0.051,-4,2,-0.167
240,2.5,-0.433,0.152,-0.059,-3,0,-0.381
240,3,-0.357,0.16,-0.066,-3,0,-0.214
240,3.5,-0.277,0.17,-0.071,-3,2,-0.297
240,4,-0.192,0.176,-0.076,-2,0,-0.456
240,4.5,-0.104,0.182,-0.079,-2,2,-0.414
240,5,-0.013,0.188,-0.082,-1,0,-0.511
240,5.5,0.081,0.192,-0.085,-1,2,-0.456
240,6,0.177,0.194,-0.087,0,0,-0.544
240,6.5,0.274,0.196,-0.089,0,2,-0.289
240,7,0.372,0.198,-0.09,1,0,-0.544
240,7.5,0.471,0.2,-0.091,1,0,-0.289
240,8,0.571,0.2,-0.092,1,2,-0.331
240,8.5,0.671,0.2,-0.092,2,0,-0.289
240,9,0.771,0.202,-0.092,2,2,-0.331
240,9.5,0.872,0.2,-0.093,3,0,-0.289
240,10,0.972,0.2,-0.093,3,2,-0.331
240,10.5,1.072,0.202,-0.093,4,0,-0.456
240,11,1.173,0.2,-0.093,4,2,-0.331
240,11.5,1.273,0.2,-0.093,5,0,-0.456
240,12,1.373,0.2,-0.093,5,2,-0.331
240,12.5,1.473,0.2,-0.093,6,0,-0.456
240,13,1.573,0.2,-0.093,6,2,-0.414
240,13.5,1.673,0.198,-0.093,7,0,-0.456
240,14,1.772,0.2,-0.092,7,2,-0.414
240,14.5,1.872,0.202,-0.092,8,0,-0.511
240,15,1.973,0.202,-0.093,8,2,-0.414
240,15.5,2.074,0.202,-0.093,9,0,-0.511
240,16,2.175,0.149,-0.094,9,0,-0.456
201,2,0.092,1.44,-0.494,-15,26,-9.539
201,2.5,0.812,1.474,-0.517,-2,28,-10.025
201,3,1.549,1.496,-0.533,12,28,-10.728
201,3.5,2.297,1.516,-0.545,26,30,-11.058
201,4,3.055,1.53,-0.554,41,28,-11.381
201,4.5,3.82,1.542,-0.562,55,30,-11.678
201,5,4.591,1.55,-0.567,70,30,-11.836
201,5.5,5.366,1.556,-0.572,85,30,-11.967
201,6,6.144,1.56,-0.575,100,32,-12.167
201,6.5,6.924,1.566,-0.578,116,30,-12.381
201,7,7.707,1.566,-0.58,131,30,-12.381
201,7.5,8.49,1.568,-0.581,146,32,-12.381
201,8,9.274,1.57,-0.582,162,30,-12.511
201,8.5,10.059,1.568,-0.583,177,30,-12.456
201,9,10.843,1.57,-0.583,192,32,-12.456
201,9.5,11.628,1.57,-0.583,208,30,-12.544
201,10,12.413,1.57,-0.583,223,30,-12.456
201,10.5,13.198,1.57,-0.583,238,32,-12.414
201,11,13.983,1.57,-0.583,254,30,-12.544
201,11.5,14.768,1.57,-0.583,269,32,-12.456
201,12,15.553,1.57,-0.583,285,30,-12.544
201,12.5,16.338,1.568,-0.583,300,30,-12.289
201,13,17.122,1.57,-0.583,315,32,-12.456
201,13.5,17.907,1.57,-0.583,331,30,-12.544
201,14,18.692,1.57,-0.583,346,30,-12.456
201,14.5,19.477,1.57,-0.584,361,32,-12.331
201,15,20.262,1.574,-0.583,377,30,-12.544
201,15.5,21.049,1.576,-0.584,392,32,-12.456
201,16,21.837,1.576,-0.585,408,32,-12.544
159,2,0.925,3.134,-0.836,5,114,-35.95
159,2.5,2.492,3.166,-0.86,62,116,-37.481
159,3,4.075,3.19,-0.876,120,118,-38.622
159,3.5,5.67,3.21,-0.888,179,120,-39.539
159,4,7.275,3.222,-0.898,239,122,-40.108
159,4.5,8.886,3.236,-0.905,300,120,-40.894
159,5,10.504,3.244,-0.911,360,122,-41.058
159,5.5,12.126,3.25,-0.915,421,124,-41.347
159,6,13.751,3.254,-0.919,483,122,-41.892
159,6.5,15.378,3.26,-0.921,544,124,-41.892
159,7,17.008,3.26,-0.923,606,124,-42.139
159,7.5,18.638,3.264,-0.924,668,122,-42.381
159,8,20.27,3.264,-0.926,729,124,-42.297
159,8.5,21.902,3.264,-0.926,791,124,-42.214
159,9,23.534,3.264,-0.927,853,124,-42.456
159,9.5,25.166,3.264,-0.927,915,124,-42.456
159,10,26.798,3.266,-0.927,977,122,-42.511
159,10.5,28.431,3.264,-0.927,1038,124,-42.331
159,11,30.063,3.266,-0.927,1100,124,-42.414
159,11.5,31.696,3.266,-0.927,1162,124,-42.289
159,12,33.329,3.264,-0.927,1224,124,-42.456
159,12.5,34.961,3.266,-0.927,1286,122,-42.511
159,13,36.594,3.264,-0.927,1347,124,-42.331
159,13.5,38.226,3.266,-0.927,1409,124,-42.331
159,14,39.859,3.264,-0.927,1471,124,-42.247
159,14.5,41.491,3.266,-0.927,1533,124,-42.289
159,15,43.124,3.268,-0.927,1595,124,-42.456
159,15.5,44.758,3.27,-0.928,1657,124,-42.511
159,16,46.393,3.27,-0.929,1719,124,-42.544
120,2,1.679,4.708,-0.902,51,256,-67.706
120,2.5,4.033,4.74,-0.926,179,256,-70.267
120,3,6.403,4.764,-0.942,307,262,-71.647
120,3.5,8.785,4.786,-0.954,438,262,-73.133
120,4,11.178,4.798,-0.963,569,264,-74.167
120,4.5,13.577,4.808,-0.97,701,264,-75
120,5,15.981,4.82,-0.976,833,266,-75.481
120,5.5,18.391,4.824,-0.981,966,266,-76.025
