Draft at mid-Hold(m),Max. sea (MT),Max. harbour (MT),Min. sea (MT),Min. harbour (MT),Hold
0,19103,20707,0,0,1
2,21200,23000,0,0,1
4,23500,25000,0,0,1
6,25500,27200,0,0,1
8,27500,29200,0,0,1
10,29500,31300,0,0,1
12,32800,33400,0,0,1
14,33900,35400,0,0,1
16,35900,37000,0,0,1
18,37343,37343,560,0,1
20,37343,37343,2025,859,1
0,29791,32386,0,0,2
2,33500,36400,0,0,2
4,36700,39400,0,0,2
6,40000,42900,0,0,2
8,43500,46500,0,0,2
10,46500,49300,0,0,2
12,50700,53225,0,0,2
14,53125,53225,0,0,2
16,53225,53225,0,0,2
18,53225,53225,950,0,2
20,53225,53225,3423,1465,2
0,30364,32956,0,0,3
2,33956,36500,0,0,3
4,37000,39850,0,0,3
6,40764,43200,0,0,3
8,44000,46500,0,0,3
10,47500,50000,0,0,3
12,50800,53205,0,0,3
14,53205,53205,0,0,3
16,53205,53205,0,0,3
18,53205,53205,950,0,3
20,53205,53205,3423,1465,3
0,29791,32386,0,0,4
2,33000,35900,0,0,4
4,36400,39200,0,0,4
6,40000,42500,0,0,4
8,43500,46100,0,0,4
10,46500,49200,0,0,4
12,50000,52400,0,0,4
14,52874,53224,0,0,4
16,53224,53224,0,0,4
18,53224,53224,950,0,4
20,53224,53224,3428,1465,4
0,30078,32769,0,0,5
2,33500,36400,0,0,5
4,37000,40000,0,0,5
6,40750,43500,0,0,5
8,44100,47000,0,0,5
10,47900,50500,0,0,5
12,51000,53800,0,0,5
14,53800,54510,0,0,5
16,54510,54510,0,0,5
18,54510,54510,950,0,5
20,54510,54510,2918,1408,5
