Vessel,Frame_number,used_for_BM,used_for_SF,Framepositionfromaft,WiDegree,Expression type,NumberOfHolds,Holdsatframe,Htank_Weight_Ratio,BallastHoldWeight,HoldBMMiConst,BMBaseValueDegree,BMTrimCorDegree,BMBaseConst,BMBaseTrimConst,SFBaseDraftDegree,SFTrimCorDegree,SFBaseConst,SFBaseTrimConst,countBallastTank,WtRatio_blst_tank,LCG_blst_tank,Holdbsttankweight,HoldbsttankLCG,Ratio_blst_tank,Ratio_hold,Ballast_tank_lists,DistfromAP,Hold_tanks_list
SMB,109,1,0,11,1,WI,5,"0,0,0,0,0","0,0",99,"0,0,0,0,0",1,1,"-16.81738,0.0002048348","-1.120619,-0.000002146576",1,1,1,1,11,"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0","0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",303.85,0
SMB,105,1,0,10,1,WI,5,"0.442,0,0,0,0","0,0",0,"293.52,0,0,0,0",2,2,"-72.99487,0.001344243,-2.155501e-11","-7.61003,-0.00001058743,2.779455e-12",1,1,1,1,11,"0,0.49,0.49,0,0,0,0,0,0,0,0","0,293.88,293.88,0,0,0,0,0,0,0,0","0,0","0,0","0,0.49,0.49,0,0,0,0,0,0,0,0","0.442,0,0,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",284.05,0
SMB,101,1,1,9,1,WI,5,"1.0,0,0,0,0","0,0",0,"273.81,0,0,0,0",2,2,"-169.1244,0.003875484,-3.293479e-10","-21.67226,-0.00002113527,5.739413e-12",2,2,"-5.905802,0.0001665602,-2.588335e-11","-0.9010874,-5.541053e-7,1.531873e-13",11,"0,0.51,0.51,0,0,0,0,0,0,0,0","0,274.08,274.08,0,0,0,0,0,0,0,0","0,0","0,0","0,0.51,0.51,0,0,0,0,0,0,0,0","0.5579999999999999,0,0,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",264.25,0
SMB,95.5,1,0,8,1,WI,5,"1.0,0.513,0,0,0","0,0",0,"0,250.75,0,0,0",2,2,"-365.5191,0.009883658,-1.431336e-9","-52.56268,-0.00003627085,9.849573e-12",1,1,1,1,11,"0,0.51,0.51,0.499,0.499,0,0,0,0,0,0","0,0,0,250.63,250.63,0,0,0,0,0,0","0,0","0,0","0,0,0,0.499,0.499,0,0,0,0,0,0","0,0.513,0,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",237.025,0
SMB,90,1,1,7,1,WI,5,"1.0,1.0,0,0,0","0,0",0,"0,223.53,0,0,0",2,2,"-632.6337,0.01884289,-3.327914e-9","-93.7691,-0.00005140643,1.395973e-11",2,2,"-11.05481,0.0003832862,-8.439464e-11","-1.658162,-5.597607e-7,1.531574e-13",11,"0,0.51,0.51,0.501,0.501,0,0,0,0,0,0","0,0,0,223.4,223.4,0,0,0,0,0,0","0,0","0,0","0,0,0,0.501,0.501,0,0,0,0,0,0","0,0.48700000000000004,0,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",209.8,0
SMB,84.5,1,0,6,1,WI,5,"1.0,1.0,0.513,0,0","0,0",0,"0,0,196.3,0,0",2,2,"-968.4547,0.03075535,-6.02307e-9","-141.6285,-0.00006654202,1.806989e-11",1,1,1,1,11,"0,0.51,0.51,0.501,0.501,0.5,0.5,0,0,0,0","0,0,0,0,0,196.19,196.19,0,0,0,0","0,0","0,0","0,0,0,0,0,0.5,0.5,0,0,0,0","0,0,0.513,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",182.575,0
SMB,79,1,1,5,1,WI,5,"1.0,1.0,1.0,0,0","0,0",0,"0,0,169.08,0,0",2,2,"-1373.948,0.04562495,-9.528032e-9","-192.4719,-0.0000816776,2.218005e-11",2,2,"-16.1795,0.0006005494,-1.433933e-10","-1.877295,-5.596483e-7,1.534772e-13",11,"0,0.51,0.51,0.501,0.501,0.5,0.5,0,0,0,0,","0,0,0,0,0,168.96,168.96,0,0,0,0","0,0","0,0","0,0,0,0,0,0.5,0.5,0,0,0,0","0,0,0.48700000000000004,0,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",155.35,0
SMB,73.5,1,0,4,1,WI,5,"1.0,1.0,1.0,0.513,0","0,0",0,"0,0,0,141.85,0",2,2,"-1849.113,0.06345558,-1.384048e-8","-242.6174,-0.00009681318,2.629021e-11",1,1,1,1,11,"0,0.51,0.51,0.501,0.501,0.5,0.5,0.501,0.501,0,0,","0,0,0,0,0,0,0,141.74,141.74,0,0","0,0","0,0","0,0,0,0,0,0,0,0.501,0.501,0,0","0,0,0,0.513,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",128.125,0
SMB,68,1,1,3,1,WI,5,"1.0,1.0,1.0,1.0,0","0,0",0,"0,0,0,114.63,0",2,2,"-2393.736,0.0842398,-1.89559e-8","-288.3812,-0.000112017,3.041884e-11",2,2,"-21.36513,0.0008181488,-2.03501e-10","-1.55572,-5.5834e-7,1.507905e-13",11,"0,0.51,0.51,0.501,0.501,0.5,0.5,0.499,0.499,0,0,","0,0,0,0,0,0,0,114.52,114.52,0,0","0,0","0,0","0,0,0,0,0,0,0,0.499,0.499,0,0","0,0,0,0.48700000000000004,0","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",100.9,0
SMB,62.2,1,0,2,1,WI,5,"1.0,1.0,1.0,1.0,0.5329999999999999","0,0",0,"0,0,0,0,86.73",2,2,"-3060.662,0.1095829,-2.526676e-8","-328.2952,-0.0001274934,3.462162e-11",1,1,1,1,11,"0,0.51,0.51,0.501,0.501,0.5,0.5,0.499,0.499,0.613,0.613","0,0,0,0,0,0,0,0,0,87.31,87.31","0,0","0,0","0,0,0,0,0,0,0,0,0,0.613,0.613","0,0,0,0,0.5329999999999999","AFT PEAK T.(C),NO.1 W.B.T.(P),NO.1 W.B.T.(S),NO.2 W.B.T.(P),NO.2 W.B.T.(S),NO.3 W.B.T.(P),NO.3 W.B.T.(S),NO.4 W.B.T.(P),NO.4 W.B.T.(S),NO.5 W.B.T.(P),NO.5 W.B.T.(S)",71.95,0
