Frame,Xap,limitsfpos,limitSFnegSEA,limitbmhog,limitBMsagSEA,limitTMSEA,secI,secA,limitSFposHRB,limitSFnegHRB,limitBMhogHRB,limitBMsagHRB,limitTMHRB
56,43,121400,-166200,3002190,-2757613,0,679.1175,1.5488,147805.8288,-194210.8966,4665523.54,-4512657.48,0
62.2,71.95,0,0,5023432,-4614192,0,679.1175,1.7553,0,0,796054,-769970,0
68,100.9,165000,-219800,6723510,-6175770,0,769.6665,1.7553,203409.5343,-260219.4578,10626525.17,-10293981.67,0
73.5,128.125,0,0,6723510,-6175770,0,905.49,2.065,0,0,11679524.02,-11405045.69,0
79,155.35,177200,-209800,6723510,-6175770,0,905.49,2.065,209009.1315,-241616.2427,11690164.23,-11416274.3,0
84.5,182.575,0,0,6723510,-6175770,0,905.49,2.065,0,0,11690164.23,-11416274.3,0
90,209.8,230400,-154800,6723510,-6175770,0,905.49,2.065,269418.0955,-192612.4127,11639326.56,-11362631.93,0
95.5,237.025,0,0,5862998,-5385361,0,905.49,2.065,0,0,9575330.74,-9302382.25,0
101,264.25,184400,-187000,3962193,-3639408,0,769.6665,1.7553,229818.8428,-230014.9758,6470976.84,-6286513.76,0
105,284.05,0,0,2579789,-2369623,0,679.1175,1.5488,0,0,4213260.46,-4093158.42,0
109,303.85,127800,-33200,1197385,-1099839,0,679.1175,1.5488,144010.6553,-48601.7574,1955544.08,-1899803.08,0
