ID,VSLCODE,TANKCATEGORY,TANKNAME,SG,SOUNDING,VOLUMEINPERCENTAGE,VOLUMEINCUBE,LCGLPP,VCGBL,TCG,FSM
1,SMB,CARGO,HOLD1,1,0,0,0,282.53,4,0,0
2,SMB,CARGO,HOLD1,1,1,0.034,750,282.53,4.5,0,0
3,SMB,CARGO,HOLD1,1,2,0.069,1500,282.53,5,0,0
4,SMB,CARGO,HOLD1,1,3,0.101,2200,282.53,5.55,0,0
5,SMB,CARGO,HOLD1,1,4,0.142,3100,282.53,6.1,0,0
6,SMB,CARGO,HOLD1,1,5,0.19,4150,282.53,6.65,0,0
7,SMB,CARGO,HOLD1,1,6,0.234,5100,282.53,7.2,0,0
8,SMB,CARGO,HOLD1,1,7,0.279,6100,282.53,7.75,0,0
9,SMB,CARGO,HOLD1,1,8,0.327,7150,282.53,8.3,0,0
10,SMB,CARGO,HOLD1,1,9,0.371,8100,282.53,8.8,0,0
11,SMB,CARGO,HOLD1,1,10,0.419,9150,282.53,9.33,0,0
12,SMB,CARGO,HOLD1,1,11,0.465,10150,282.53,9.83,0,0
13,SMB,CARGO,HOLD1,1,12,0.511,11150,282.53,10.38,0,0
14,SMB,CARGO,HOLD1,1,13,0.556,12150,282.53,10.88,0,0
15,SMB,CARGO,HOLD1,1,14,0.604,13200,282.53,11.35,0,0
16,SMB,CARGO,HOLD1,1,15,0.648,14150,282.53,11.85,0,0
17,SMB,CARGO,HOLD1,1,16,0.698,15250,282.53,12.4,0,0
18,SMB,CARGO,HOLD1,1,17,0.74,16150,282.53,12.85,0,0
19,SMB,CARGO,HOLD1,1,18,0.788,17200,282.53,13.4,0,0
20,SMB,CARGO,HOLD1,1,19,0.833,18200,282.53,13.85,0,0
21,SMB,CARGO,HOLD1,1,20,0.879,19200,282.53,14.4,0,0
22,SMB,CARGO,HOLD1,1,21,0.925,20200,282.53,14.85,0,0
23,SMB,CARGO,HOLD1,1,22,0.971,21200,282.53,15.35,0,0
24,SMB,CARGO,HOLD1,1,23,0.996,21750,282.53,15.55,0,0
25,SMB,CARGO,HOLD1,1,23.28,1,21838.8,282.53,15.62,0,0
26,SMB,CARGO,HOLD2,1,0,0,0,237.49,4,0,0
27,SMB,CARGO,HOLD2,1,1,0.034,1200,237.49,4.5,0,0
28,SMB,CARGO,HOLD2,1,2,0.068,2400,237.49,5,0,0
29,SMB,CARGO,HOLD2,1,3,0.108,3850,237.49,5.55,0,0
30,SMB,CARGO,HOLD2,1,4,0.148,5250,237.49,6.1,0,0
31,SMB,CARGO,HOLD2,1,5,0.193,6850,237.49,6.65,0,0
32,SMB,CARGO,HOLD2,1,6,0.234,8300,237.49,7.2,0,0
33,SMB,CARGO,HOLD2,1,7,0.282,10000,237.49,7.75,0,0
34,SMB,CARGO,HOLD2,1,8,0.329,11700,237.49,8.25,0,0
35,SMB,CARGO,HOLD2,1,9,0.374,13300,237.49,8.8,0,0
36,SMB,CARGO,HOLD2,1,10,0.422,15000,237.49,9.25,0,0
37,SMB,CARGO,HOLD2,1,11,0.47,16700,237.49,9.85,0,0
38,SMB,CARGO,HOLD2,1,12,0.515,18300,237.49,10.3,0,0
39,SMB,CARGO,HOLD2,1,13,0.563,20000,237.49,10.85,0,0
40,SMB,CARGO,HOLD2,1,14,0.609,21650,237.49,11.35,0,0
41,SMB,CARGO,HOLD2,1,15,0.653,23200,237.49,11.85,0,0
42,SMB,CARGO,HOLD2,1,16,0.704,25000,237.49,12.4,0,0
43,SMB,CARGO,HOLD2,1,17,0.749,26600,237.49,12.85,0,0
44,SMB,CARGO,HOLD2,1,18,0.797,28300,237.49,13.4,0,0
45,SMB,CARGO,HOLD2,1,19,0.843,29950,237.49,13.85,0,0
46,SMB,CARGO,HOLD2,1,20,0.89,31600,237.49,14.4,0,0
47,SMB,CARGO,HOLD2,1,21,0.935,33200,237.49,14.85,0,0
48,SMB,CARGO,HOLD2,1,22,0.974,34600,237.49,15.35,0,0
49,SMB,CARGO,HOLD2,1,23,0.992,35250,237.49,15.55,0,0
50,SMB,CARGO,HOLD2,1,23.28,1,35521.7,237.49,15.59,0,0
51,SMB,CARGO,HOLD3,1,0,0,0,183.05,4,0,0
52,SMB,CARGO,HOLD3,1,1,0.034,1200,183.05,4.5,0,0
53,SMB,CARGO,HOLD3,1,2,0.068,2400,183.05,5,0,0
54,SMB,CARGO,HOLD3,1,3,0.108,3850,183.05,5.55,0,0
55,SMB,CARGO,HOLD3,1,4,0.148,5250,183.05,6.1,0,0
56,SMB,CARGO,HOLD3,1,5,0.193,6850,183.05,6.65,0,0
57,SMB,CARGO,HOLD3,1,6,0.234,8300,183.05,7.2,0,0
58,SMB,CARGO,HOLD3,1,7,0.282,10000,183.05,7.75,0,0
59,SMB,CARGO,HOLD3,1,8,0.329,11700,183.05,8.25,0,0
60,SMB,CARGO,HOLD3,1,9,0.375,13300,183.05,8.8,0,0
61,SMB,CARGO,HOLD3,1,10,0.422,15000,183.05,9.25,0,0
62,SMB,CARGO,HOLD3,1,11,0.47,16700,183.05,9.85,0,0
63,SMB,CARGO,HOLD3,1,12,0.515,18300,183.05,10.3,0,0
