ID,Vessel Code,Tank Category,Tank Name,Density,Capacity,Weight,LCGLPP,VCGBL,TCG,FSM,Aft Dist from AP (m),Fwd Dist from AP (m),WeightItemName
1,SMB,WB,NO.1 W.B.T.(P),1.025,13119.2,13447.18,283.78,12.64,0,15090.05,264.25,303.85,WBTnk1P
2,SMB,WB,NO.1 W.B.T.(S),1.025,13119.2,13447.18,283.78,12.64,0,15090.05,264.25,303.85,WBTnk1S
3,SMB,WB,NO.2 W.B.T.(P),1.025,19407.1,19892.2775,236.99,12.11,0,21180.6,209.8,264.25,WBTnk2P
4,SMB,WB,NO.2 W.B.T.(S),1.025,19407.1,19892.2775,236.99,12.11,0,21180.6,209.8,264.25,WBTnk2S
5,SMB,WB,NO.3 W.B.T.(P),1.025,19436.7,19922.6175,182.57,12.1,0,21274.9,155.35,209.8,WBTnk3P
6,SMB,WB,NO.3 W.B.T.(S),1.025,19436.7,19922.6175,182.57,12.1,0,21274.9,155.35,209.8,WBTnk3S
7,SMB,WB,NO.4 W.B.T.(P),1.025,19416.5,19901.9125,128.15,12.11,0,21274.9,100.9,155.35,WBTnk4P
8,SMB,WB,NO.4 W.B.T.(S),1.025,19416.5,19901.9125,128.15,12.11,0,21274.9,100.9,155.35,WBTnk4S
9,SMB,WB,NO.5 W.B.T.(P),1.025,15783,16177.575,76.31,12.28,0,14789.725,43,100.9,WBTnk5P
10,SMB,WB,NO.5 W.B.T.(S),1.025,15783,16177.575,76.31,12.28,0,14789.725,43,100.9,WBTnk5S
11,SMB,WB,AFT PEAK T.(C),1.025,1030.9,1056.6725,9.36,17.04,0,22248.65,5.6,12.6,WBAPTnk
12,SMB,FW,FRESH WATER T.(P),1,305.3,305.3,7.23,22.9,0,220,2.1,11.2,FWTnk1
13,SMB,FW,FRESH WATER T.(S),1,305.3,305.3,7.23,22.9,0,220,2.1,11.2,FWTnk2
14,SMB,FW,C. F. W. T.(C),1,41.8,41.8,11.09,3.74,0,6,7,12.6,FWTnk3
15,SMB,FO,NO.1 FUEL OIL T.(P),0.96,1891.7,1816.032,54.18,21.88,0,2876.16,43,66.25,FOTnk1
16,SMB,FO,NO.1 FUEL OIL T.(S),0.96,1891.7,1816.032,54.18,21.88,0,2876.16,43,66.25,FOTnk2
17,SMB,FO,NO.2 FUEL OIL T.(P),0.96,2441.4,2343.744,32.14,20.29,0,2236.8,12.6,43,FOTnk3
18,SMB,FO,NO.2 FUEL OIL T.(S),0.96,1872.9,1797.984,33.74,19.67,0,1927.68,21.4,43,FOTnk4
19,SMB,DO,NO.1 DIESEL OIL T.(S),0.9,138.5,124.65,19.88,21.51,0,38,18.2,21.4,DOTnk1
20,SMB,DO,NO.2 DIESEL OIL T.(S),0.9,153.8,138.42,15.72,21.82,0,24,12.6,18.2,DOTnk2
21,SMB,LO,L. O. SUMP T.(C),0.9,45,40.5,28.93,1.71,0,41,23,35.8,LOTnk1
22,SMB,FO,F. O. OVERFLOW T.(C),1,54.1,54.1,40.57,1.58,0,43,39,42.2,FOTnk5
23,SMB,FO,NO.1 H.F.O. SETT.T.(S),0.96,52.2,50.112,41.4,23.06,0,20,39.8,43,FOTnk6
24,SMB,FO,NO.2 H.F.O. SETT.T.(S),0.96,52.2,50.112,38.2,23.06,0,20,36.6,39.8,FOTnk7
25,SMB,FO,NO.1 H.F.O.SERV.T.(S),0.96,56,53.76,35,23.06,0,20,33.4,36.6,FOTnk8
26,SMB,FO,NO.2 H.F.O. SERV.T.(S),0.96,56,53.76,31.8,23.06,0,20,30.2,33.4,FOTnk9
27,SMB,MISC,SEWAGE HOLDING T.(P),1,35.9,35.9,32.67,1.88,0,38,31,34.2,MISTnk1
28,SMB,MISC,BILGE SEP.OIL T.(P),1,46,46,28.18,1.97,0,29,24.6,31,MISTnk2
29,SMB,MISC,CLEAN DRAIN T.(C),1,56.7,56.7,19.07,1.8,0,107,17.4,20.6,MISTnk3
30,SMB,MISC,BILGE T(C),1,46.3,46.3,15.38,1.69,0,45,12.6,17.4,MISTnk4
31,SMB,WC,MEN & EFFECTS,1,3,3,37.4,34.32,0,0,-5.45,91,DWTnk1
32,SMB,WC,PROVISIONS,1,7,7,32.6,27.2,0,0,27.8,43,DWTnk2
33,SMB,WC,STORES(aft.),1,7,7,-2.68,21,0,0,-5.45,2.1,DWTnk3
34,SMB,WC,STORES(acc.&mach.),1,26,26,29.7,21.41,0,0,27.8,43,DWTnk4
35,SMB,WC,STORES(mid.),1,7,7,209.8,27.2,0,0,207.325,212.275,DWTnk5
36,SMB,WC,STORES(fore),1,14,14,308,27.2,0,0,304.55,311.55,DWTnk6
37,SMB,WC,HULL PART? S W. & O.,1,6,6,158.63,24.86,0,0,155.35,165.25,DWTnk7
38,SMB,WC,MACH.PART? S W. & O.,1,438,438,30.48,16.1,0,0,26.2,37.4,DWTnk8
39,SMB,WC,COOL.F.W.T.(C),1,42,42,11.09,3.74,0,0,11.2,11.9,DWTnk9
40,SMB,WC,DEADWEIGHT CONSTANT,1,550,550,39.25,0,0,0,0.7,42.2,DWTnk10
41,SMB,FW,D. W. S. T.(P),1,455.7,455.7,54.97,21.77,0,0,43,66.25,FWTnk4
42,SMB,FW,D. W. S. T.(S),1,455.7,455.7,54.97,21.77,0,0,43,66.25,FWTnk5
