Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
109,2,-1.035,0.412,-0.166,-11.104,2.993,-1.168
109,2.5,-0.828,0.418,-0.168,-9.808,3.011,-1.188
109,3,-0.621,0.419,-0.171,-8.102,3.029,-1.203
109,3.5,-0.411,0.422,-0.173,-6.588,3.047,-1.221
109,4,-0.2,0.425,-0.175,-5.064,3.065,-1.238
109,4.5,0.012,0.428,-0.177,-3.532,3.083,-1.256
109,5,0.226,0.431,-0.18,-1.99,3.101,-1.273
109,5.5,0.442,0.434,-0.182,-0.44,3.119,-1.291
109,6,0.659,0.437,-0.184,1.12,3.137,-1.308
109,6.5,0.877,0.44,-0.186,2.689,3.155,-1.326
109,7,1.097,0.443,-0.189,4.266,3.173,-1.343
109,7.5,1.319,0.447,-0.191,5.853,3.191,-1.361
109,8,1.542,0.45,-0.193,7.448,3.209,-1.378
109,8.5,1.767,0.453,-0.195,9.053,3.227,-1.396
109,9,1.994,0.456,-0.198,10.666,3.245,-1.413
109,9.5,2.222,0.459,-0.2,12.289,3.263,-1.431
109,10,2.451,0.462,-0.202,13.92,3.281,-1.448
109,10.5,2.682,0.465,-0.204,15.561,3.299,-1.466
109,11,2.915,0.468,-0.207,17.21,3.317,-1.483
109,11.5,3.149,0.471,-0.209,18.869,3.335,-1.501
109,12,3.384,0.474,-0.211,20.536,3.353,-1.518
109,12.5,3.622,0.478,-0.213,22.213,3.371,-1.536
109,13,3.86,0.481,-0.216,23.898,3.389,-1.553
109,13.5,4.101,0.484,-0.218,25.593,3.407,-1.571
109,14,4.343,0.487,-0.22,27.296,3.425,-1.588
109,14.5,4.586,0.49,-0.222,29.009,3.443,-1.606
109,15,4.831,0.493,-0.225,30.73,3.461,-1.623
109,15.5,5.078,0.496,-0.227,32.461,3.479,-1.641
109,16,5.326,0.499,-0.229,34.2,3.497,-1.658
109,16.5,5.575,0.502,-0.231,35.949,3.515,-1.676
109,17,5.826,0.505,-0.234,37.706,3.533,-1.693
109,17.5,6.079,0.509,-0.236,39.473,3.551,-1.711
109,18,6.333,0.512,-0.238,41.248,3.569,-1.728
109,18.5,6.589,0.515,-0.24,43.033,3.587,-1.746
109,19,6.847,0.518,-0.243,44.826,3.605,-1.763
109,19.5,7.106,0.521,-0.245,46.629,3.623,-1.781
109,20,7.366,0.524,-0.247,48.44,3.641,-1.798
109,20.5,7.628,0.527,-0.249,50.261,3.659,-1.816
109,21,7.892,0.53,-0.252,52.09,3.677,-1.833
109,21.5,8.157,0.533,-0.254,53.929,3.695,-1.851
105,2,-1.385,1.336,-0.529,-35.964,19.778,-7.891
105,2.5,-0.717,1.342,-0.532,-28.075,19.882,-7.989
105,3,-0.047,1.347,-0.536,-16.134,19.986,-8.047
105,3.5,0.627,1.352,-0.54,-6.141,20.09,-8.125
105,4,1.303,1.357,-0.543,3.904,20.194,-8.203
105,4.5,1.981,1.362,-0.547,14.001,20.298,-8.281
105,5,2.663,1.368,-0.551,24.15,20.402,-8.359
105,5.5,3.346,1.373,-0.554,34.351,20.506,-8.437
105,6,4.033,1.378,-0.558,44.604,20.61,-8.515
105,6.5,4.722,1.383,-0.562,54.909,20.714,-8.593
105,7,5.413,1.388,-0.565,65.266,20.818,-8.671
105,7.5,6.107,1.394,-0.569,75.675,20.922,-8.749
105,8,6.804,1.399,-0.573,86.136,21.026,-8.827
105,8.5,7.503,1.404,-0.576,96.649,21.13,-8.905
105,9,8.205,1.409,-0.58,107.214,21.234,-8.983
105,9.5,8.91,1.414,-0.584,117.831,21.238,-9.061
105,10,9.617,1.42,-0.587,128.5,21.442,-9.139
105,10.5,10.327,1.425,-0.591,139.221,21.546,-9.217
105,11,11.039,1.43,-0.595,149.994,21.65,-9.295
105,11.5,11.754,1.435,-0.598,160.819,21.754,-9.373
105,12,12.472,1.44,-0.602,171.696,21.858,-9.451
105,12.5,13.192,1.446,-0.605,182.625,21.962,-9.529
105,13,13.915,1.451,-0.609,193.606,22.066,-9.607
105,13.5,14.64,1.456,-0.613,204.639,22.17,-9.685
105,14,15.368,1.461,-0.616,215.724,22.274,-9.763
105,14.5,16.098,1.466,-0.62,226.861,22.378,-9.841
105,15,16.832,1.471,-0.624,238.05,22.482,-9.919
105,15.5,17.567,1.477,-0.627,249.291,22.586,-9.997
105,16,18.306,1.482,-0.631,260.584,22.69,-10.075
105,16.5,19.047,1.487,-0.635,271.929,22.794,-10.153
105,17,19.79,1.492,-0.638,283.326,22.898,-10.231
105,17.5,20.536,1.498,-0.642,294.775,23.002,-10.309
105,18,21.285,1.503,-0.646,306.276,23.106,-10.387
105,18.5,22.036,1.508,-0.649,317.829,23.21,-10.465
105,19,22.79,1.513,-0.653,329.434,23.314,-10.543
105,19.5,23.547,1.518,-0.657,341.091,23.418,-10.621
105,20,24.306,1.524,-0.66,352.8,23.522,-10.699
105,20.5,25.068,1.529,-0.664,364.561,23.626,-10.777
105,21,25.832,1.534,-0.668,376.374,23.73,-10.855
105,21.5,26.599,1.539,-0.671,388.239,23.834,-10.933
101,2,-1.4,2.45,-0.916,-63.836,57.115,-22.24
101,2.5,-0.175,2.456,-0.92,-35.279,57.328,-22.395
101,3,1.053,2.462,-0.924,-6.615,57.541,-22.55
101,3.5,2.284,2.467,-0.928,22.155,57.754,-22.705
101,4,3.518,2.473,-0.932,51.032,57.967,-22.86
101,4.5,4.754,2.479,-0.936,80.015,58.18,-23.015
101,5,5.994,2.484,-0.94,109.105,58.393,-23.17
101,5.5,7.236,2.49,-0.944,138.301,58.606,-23.325
101,6,8.481,2.496,-0.949,167.604,58.819,-23.48
101,6.5,9.729,2.502,-0.953,197.013,59.031,-23.635
101,7,10.98,2.507,-0.957,226.529,59.245,-23.79
101,7.5,12.233,2.513,-0.961,256.151,59.458,-23.945
101,8,13.49,2.519,-0.965,285.88,59.67,-24.1
101,8.5,14.749,2.524,-0.969,315.715,59.884,-24.255
101,9,16.011,2.53,-0.973,345.657,60.096,-24.41
101,9.5,17.276,2.536,-0.977,375.705,60.309,-24.565
101,10,18.544,2.541,-0.981,405.86,60.523,-24.72
101,10.5,19.815,2.547,-0.985,436.121,60.736,-24.875
101,11,21.088,2.553,-0.989,466.489,60.949,-25.03
101,11.5,22.365,2.559,-0.993,496.963,61.161,-25.185
101,12,23.644,2.564,-0.997,527.544,61.374,-25.34
101,12.5,24.926,2.57,-1.001,558.231,61.588,-25.495
101,13,26.211,2.576,-1.005,589.025,61.801,-25.65
101,13.5,27.499,2.581,-1.009,619.925,62.014,-25.805
101,14,28.79,2.587,-1.013,650.932,62.226,-25.96
101,14.5,30.083,2.593,-1.017,682.045,62.44,-26.115
101,15,31.38,2.598,-1.021,713.265,62.652,-26.27
101,15.5,32.679,2.604,-1.025,744.591,62.866,-26.425
101,16,33.981,2.61,-1.03,776.024,63.078,-26.58
101,16.5,35.286,2.616,-1.034,807.563,63.292,-26.735
101,17,36.594,2.621,-1.038,839.209,63.505,-26.89
101,17.5,37.904,2.627,-1.042,870.961,63.717,-27.045
101,18,39.218,2.633,-1.046,902.82,63.93,-27.2
101,18.5,40.534,2.638,-1.05,934.785,64.144,-27.355
101,19,41.853,2.644,-1.054,966.857,64.356,-27.51
101,19.5,43.175,2.65,-1.058,999.035,64.57,-27.665
101,20,44.5,2.655,-1.062,1031.32,64.782,-27.82
101,20.5,45.828,2.661,-1.066,1063.711,64.996,-27.975
101,21,47.158,2.667,-1.07,1096.209,65.209,-28.13
101,21.5,48.492,2.673,-1.074,1128.813,65.421,-28.285
95.5,2,-1.087,4.039,-1.361,-97.97,145.438,-53.537
95.5,2.5,0.933,4.045,-1.365,-25.251,145.807,-53.803
95.5,3,2.955,4.051,-1.37,47.652,146.176,-54.069
95.5,3.5,4.981,4.057,-1.374,120.74,146.545,-54.335
95.5,4,7.009,4.063,-1.378,194.012,146.914,-54.601
95.5,4.5,9.04,4.068,-1.382,267.469,147.283,-54.867
95.5,5,11.075,4.074,-1.386,341.11,147.652,-55.133
95.5,5.5,13.112,4.08,-1.39,414.936,148.021,-55.399
95.5,6,15.152,4.086,-1.394,488.946,148.39,-55.665
95.5,6.5,17.195,4.092,-1.398,563.141,148.759,-55.931
95.5,7,19.24,4.097,-1.402,637.52,149.128,-56.197
95.5,7.5,21.289,4.103,-1.406,712.084,149.497,-56.463
95.5,8,23.341,4.109,-1.41,786.832,149.866,-56.729
95.5,8.5,25.395,4.115,-1.414,861.765,150.235,-56.995
95.5,9,27.453,4.121,-1.418,936.882,150.604,-57.261
95.5,9.5,29.513,4.126,-1.422,1012.184,150.973,-57.527
95.5,10,31.576,4.132,-1.426,1087.67,151.342,-57.793
95.5,10.5,33.642,4.138,-1.43,1163.341,151.711,-58.059
95.5,11,35.711,4.144,-1.434,1239.196,152.08,-58.325
95.5,11.5,37.783,4.15,-1.438,1315.236,152.449,-58.591
95.5,12,39.858,4.155,-1.442,1391.46,152.818,-58.857
95.5,12.5,41.936,4.161,-1.446,1467.869,153.187,-59.123
95.5,13,44.016,4.167,-1.451,1544.462,153.556,-59.389
95.5,13.5,46.1,4.173,-1.455,1621.24,153.925,-59.655
95.5,14,48.186,4.179,-1.459,1698.202,154.294,-59.921
95.5,14.5,50.275,4.184,-1.463,1775.349,154.663,-60.187
95.5,15,52.368,4.19,-1.467,1852.68,155.032,-60.453
95.5,15.5,54.463,4.196,-1.471,1930.196,155.401,-60.719
95.5,16,56.561,4.202,-1.475,2007.896,155.77,-60.985
95.5,16.5,58.662,4.208,-1.479,2085.781,156.139,-61.251
95.5,17,60.765,4.213,-1.483,2163.85,156.508,-61.517
95.5,17.5,62.872,4.219,-1.487,2242.104,156.877,-61.783
95.5,18,64.982,4.225,-1.491,2320.542,157.246,-62.049
95.5,18.5,67.094,4.231,-1.495,2399.165,157.615,-62.315
95.5,19,69.21,4.237,-1.499,2477.972,157.984,-62.581
95.5,19.5,71.328,4.242,-1.503,2556.964,158.353,-62.847
95.5,20,73.449,4.248,-1.507,2636.14,158.722,-63.113
95.5,20.5,75.573,4.254,-1.511,2715.501,159.09,-63.379
95.5,21,77.7,4.26,-1.515,2795.046,159.46,-63.645
95.5,21.5,79.83,4.266,-1.519,2874.776,159.829,-63.911
90,2,-0.727,5.629,-1.673,-123.54,277.048,-95.15
90,2.5,2.088,5.635,-1.677,14.984,277.575,-95.527
90,3,4.906,5.641,-1.681,153.771,278.102,-95.904
90,3.5,7.726,5.647,-1.686,292.822,278.629,-96.281
90,4,10.549,5.652,-1.69,432.136,279.156,-96.658
90,4.5,13.375,5.658,-1.694,571.714,279.683,-97.035
90,5,16.205,5.664,-1.698,711.555,280.21,-97.412
90,5.5,19.037,5.67,-1.702,851.66,280.737,-97.789
90,6,21.871,5.676,-1.706,992.028,281.264,-98.166
90,6.5,24.709,5.681,-1.71,1132.66,281.791,-98.543
90,7,27.55,5.687,-1.714,1273.555,282.318,-98.92
90,7.5,30.394,5.693,-1.718,1414.714,282.845,-99.297
90,8,33.24,5.699,-1.722,1556.136,283.372,-99.674
90,8.5,36.089,5.705,-1.727,1697.822,283.898,-100.051
90,9,38.942,5.71,-1.731,1839.771,284.426,-100.428
90,9.5,41.797,5.716,-1.735,1981.984,284.952,-100.805
90,10,44.655,5.722,-1.739,2124.46,285.48,-101.182
90,10.5,47.516,5.728,-1.743,2267.2,286.007,-101.559
90,11,50.38,5.734,-1.747,2410.203,286.534,-101.936
90,11.5,53.247,5.739,-1.751,2553.47,287.061,-102.313
90,12,56.116,5.745,-1.755,2697,287.588,-102.69
90,12.5,58.989,5.751,-1.759,2840.794,288.115,-103.067
90,13,61.865,5.757,-1.763,2984.851,288.641,-103.444
90,13.5,64.743,5.763,-1.768,3129.172,289.169,-103.821
90,14,67.624,5.768,-1.772,3273.756,289.696,-104.198
90,14.5,70.508,5.774,-1.776,3418.604,290.222,-104.575
90,15,73.396,5.78,-1.78,3563.715,290.75,-104.952
90,15.5,76.286,5.786,-1.784,3709.09,291.277,-105.329
90,16,79.178,5.792,-1.788,3854.728,291.803,-105.706
90,16.5,82.074,5.797,-1.792,4000.63,292.331,-106.083
90,17,84.973,5.803,-1.796,4146.795,292.858,-106.46
90,17.5,87.875,5.809,-1.8,4293.224,293.384,-106.837
90,18,90.779,5.815,-1.804,4439.916,293.912,-107.214
90,18.5,93.686,5.821,-1.809,4586.872,294.439,-107.591
90,19,96.597,5.826,-1.813,4734.091,294.965,-107.968
90,19.5,99.51,5.832,-1.817,4881.574,295.493,-108.345
90,20,102.426,5.838,-1.821,5029.32,296.02,-108.722
90,20.5,105.345,5.844,-1.825,5177.33,296.547,-109.099
90,21,108.267,5.85,-1.829,5325.603,297.073,-109.476
90,21.5,111.192,5.855,-1.833,5474.14,297.601,-109.853
84.5,2,-0.371,7.221,-1.85,-138.48,451.975,-143.416
84.5,2.5,3.24,7.227,-1.854,87.507,452.661,-143.904
84.5,3,6.853,7.233,-1.859,313.838,453.347,-144.392
84.5,3.5,10.47,7.239,-1.863,540.512,454.033,-144.88
84.5,4,14.089,7.245,-1.867,767.528,454.719,-145.368
84.5,4.5,17.711,7.25,-1.871,994.888,455.405,-145.856
